word,len
tʃ y0 n k i0,5
tʃ y0 n k y0,5
tʃ ɯ0 x ɯ0 ʃ,5
tʃ ɯ0 x ɯ0 ɾ,5
tʃ ɯ0 x ɯ0 b,5
tʃ ɯ0 x ɯ0 n,5
tʃ ɯ0 x ɑ0 n,5
tʃ ɯ0 x ɑ0,4
tʃ ɯ0 x ɑ0 ɾ,5
tʃ ɯ0 x d ɯ0,5
tʃ ɯ0 x m ɯ0 ʃ,6
tʃ ɯ0 x m ɯ0 ɾ,6
tʃ ɯ0 x m ɑ0 ɡ,6
tʃ ɯ0 x m ɑ0,5
tʃ ɯ0 x m ɑ0 z,6
tʃ ɯ0 x s ɑ0,5
tʃ ɯ0 x s ɯ0 n,6
tʃ ɯ0 l p ɑ0 ɡ,6
tʃ ɯ0 l ɣ ɯ0 n,6
tʃ ɯ0 ɾ ɑ0,4
tʃ ɯ0 ɾ ɑ0 ɡ,5
tʃ ɯ0 ɾ p ɯ0 b,6
tʃ o0 x l u0,5
tʃ o0 x l u0 ɡ,6
tʃ o0 x l ɑ0,5
tʃ o0 x l ɑ0 ɾ,6
tʃ o0 x u0,4
tʃ o0 x u0 m,5
tʃ o0 x u0 d,5
tʃ o0 x d u0 ɾ,6
tʃ o0 x d u0,5
tʃ o0 x d ɑ0 n,6
tʃ o0 x tʃ o0 x,6
tʃ o0 b ɑ0 l,5
tʃ o0 b ɑ0 l t,6
tʃ o0 b ɑ0 n,5
tʃ o0 b ɑ0,4
tʃ o0 v d ɑ0 ɾ,6
tʃ o0 v d ɑ0 n,6
tʃ o0 v d u0,5
tʃ æ0 t i0 n,5
tʃ æ0 t i0,4
tʃ æ0 t i0 ɾ,5
tʃ æ0 t i0 f,5
tʃ æ0 t i0 l,5
tʃ æ0 k i0 l,5
tʃ æ0 k i0 m,5
tʃ æ0 k i0 ɾ,5
tʃ æ0 k i0 b,5
tʃ æ0 k i0 n,5
tʃ æ0 k i0,4
tʃ æ0 k i0 d,5
tʃ æ0 k i0 z,5
tʃ æ0 k i0 dʒ,5
tʃ æ0 k m æ0 k,6
tʃ æ0 k m æ0,5
tʃ æ0 k m æ0 z,6
tʃ æ0 k m i0 ʃ,6
tʃ æ0 k m i0 ɾ,6
tʃ æ0 k m i0 l,6
tʃ æ0 k æ0 ɾ,5
tʃ æ0 k æ0 n,5
tʃ æ0 k æ0,4
tʃ æ0 k d i0,5
tʃ æ0 k d i0 m,6
tʃ æ0 k s æ0 ɾ,6
tʃ æ0 k s æ0 n,6
tʃ æ0 k s i0 n,6
tʃ æ0 k s i0,5
tʃ æ0 m æ0 k,5
tʃ æ0 m æ0 l,5
