word,len
s e0 ɡ a0,4
s e0 ɡ m e0 n,6
s e0 ɡ m e0 n t,7
s e0 b e0,4
s e0 b e0 ɫ,5
s e0 b e0 n,5
s e0 b e0 d,5
s e0 ɫ o0,4
s e0 ɫ o0 s t,6
s e0 ɫ a0,4
s e0 ɫ a0 ɫ,5
s e0 ɫ a0 n,5
s e0 ɫ s k i0,6
s e0 ɫ s k o0,6
s e0 ɫ s k a0,6
s e0 ɫ s i0,5
s e0 ɫ ts e0,5
s e0 ɫ ts a0,5
s e0 ɫ ts i0,5
s e0 z o0 n,5
s e0 k t o0 r,6
s e0 k t o0 p,6
s e0 k t ə0 r,6
s e0 k t i0,5
s e0 k s t a0,6
s e0 k s t a0 z,7
s e0 k s t ə0 t,7
s e0 k s t r a0,7
s e0 k s t r i0,7
s e0 k s p e0 r t,8
s e0 k s p e0 k t,8
s e0 k s p o0 t,7
s e0 k s p o0 r t,8
s e0 k s a0,5
s e0 k s ə0 t,6
s e0 k s i0,5
s e0 k r a0 n,6
s e0 k r a0 j,6
s e0 k r e0 t,6
s e0 d e0 m,5
s e0 d e0 n,5
s e0 d e0 j,5
s e0 d e0 ɫ,5
s e0 d i0,4
s e0 d i0 t,5
s e0 d i0 m,5
s e0 d i0 ʃ,5
s e0 d n i0,5
s e0 d n ə0 ʒ,6
s e0 d n a0,5
s e0 d n a0 ɫ,6
s e0 d n a0 x,6
s e0 d n a0 t,6
s e0 d n o0,5
s e0 d n o0 s t,7
s e0 d n e0,5
s e0 d j a0 t,6
s e0 d j a0,5
s e0 d j a0 x,6
s e0 d j a0 ɫ,6
s e0 d m e0 t,6
s e0 d m a0,5
s e0 d m i0,5
s e0 s t o0,5
s e0 s t o0 j,6
s e0 s t o0 k,6
s e0 s t o0 ɫ,6
s e0 s t a0,5
s e0 s t a0 z,6
s e0 s t n i0 k,7
s e0 s t n i0,6
s e0 s t n o0,6
s e0 s t n o0 s t,8
s e0 s t n a0,6
s e0 s t n a0 x,7
s e0 s t n a0 t,7
s e0 s t n a0 ɫ,7
s e0 s t i0 t,6
s e0 s t i0,5
s e0 s t i0 ʒ,6
s e0 s t i0 m,6
s e0 s t r a0,6
s e0 s t r i0,6
s e0 s t e0 n,6
s e0 s t v a0,6
s e0 s t v a0 t,7
s e0 s t v a0 ʃ t,8
s e0 s t v a0 ʃ,7
s e0 s t v a0 j,7
s e0 s t v a0 ɫ,7
s e0 s t v a0 m,7
s e0 s t v o0,6
s e0 s t t e0,6
s e0 s t t a0,6
s e0 s t j a0,6
s e0 s t j a0 t,7
s e0 s t j a0 x,7
s e0 v e0 n,5
s e0 v e0 r,5
s e0 v e0 t,5
s e0 v e0 ts,5
s e0 v e0 ɫ,5
s e0 v e0 s,5
s e0 v d o0,5
s e0 ʃ t u0,5
s e0 ʃ t a0,5
s e0 ʃ t a0 t,6
s e0 ʃ t a0 m,6
s e0 ʃ t a0 ɫ,6
s e0 ʃ t a0 ʃ,6
s e0 ʃ t a0 n,6
s e0 ʃ t i0,5
s e0 ʃ t n a0,6
s e0 ʃ t n a0 x,7
s e0 ʃ t n a0 t,7
s e0 ʃ t n a0 ɫ,7
s e0 ʃ t n e0,6
s e0 ʃ t n e0 m,7
s e0 ʃ t n e0 ʃ,7
s e0 ʃ t j a0,6
s e0 ʃ t j a0 t,7
s e0 ʃ t j a0 x,7
s e0 ʃ t t a0,6
s e0 t i0,4
s e0 t i0 x,5
s e0 t i0 ɫ,5
s e0 t i0 m,5
s e0 t n i0 k,6
s e0 t n i0,5
s e0 t n o0,5
s e0 t n o0 s t,7
s e0 t n a0,5
s e0 t n a0 x,6
s e0 t n a0 t,6
s e0 t n a0 ɫ,6
s e0 t n e0,5
s e0 t n e0 m,6
s e0 t n e0 ʃ,6
s e0 t j a0,5
s e0 t j a0 t,6
s e0 t j a0 x,6
s e0 r v e0 n,6
s e0 r v e0 j,6
s e0 r v i0 z,6
s e0 r v i0,5
s e0 r v n i0 k,7
s e0 r v n i0,6
s e0 r v n o0,6
s e0 r v n o0 s t,8
s e0 r v o0,5
s e0 n k i0,5
s e0 n k a0,5
s e0 n o0,4
s e0 m e0,4
s e0 m e0 j ɫ,6
s e0 m e0 n,5
s e0 m e0 n t,6
s e0 m e0 m,5
s e0 m e0 ʃ,5
s e0 m e0 ʒ,5
s e0 m e0 k,5
s e0 m k i0,5
s e0 m p o0,5
s e0 m p ə0 ɫ,6
s e0 m p ɫ a0,6
s e0 m p ɫ i0,6
s e0 m p ɫ o0,6
s e0 p n a0,5
s e0 p n e0,5
s ə0 ʃ t o0,5
s ə0 ʃ t n o0 s t,8
s ə0 ʃ t n o0,6
s ə0 ʃ t a0,5
s ə0 ʃ t a0 t,6
s ə0 ʃ t a0 m,6
s ə0 ʃ t a0 ʃ,6
s ə0 ʃ t i0,5
s ə0 v s e0 m,6
s ə0 v e0 t,5
s ə0 v e0 s t,6
s ə0 v e0 n,5
s ə0 j u0 z,5
s ə0 r ts e0,5
s ə0 r ts a0,5
s ə0 r ts i0,5
s ə0 r b a0,5
s ə0 r b i0,5
s ə0 r b ə0 t,6
s ə0 r v o0,5
s ə0 r v i0,5
s ə0 r v i0 m,6
s ə0 r v i0 ʃ,6
s ə0 r v a0,5
s ə0 r v j a0 t,7
s ə0 r v j a0,6
s ə0 r v j a0 x,7
