word,len
e0 s t a0 t,5
e0 s t a0 n,5
e0 s t a0 n t,6
e0 s t a0,4
e0 s t a0 ts,5
e0 s t a0 s,5
e0 s t a0 ɲ,5
e0 s t i0 k,5
e0 s t i0,4
e0 s t i0 l,5
e0 s t i0 l s,6
e0 s t i0 t,5
e0 s t i0 ts,5
e0 s t i0 n t,6
e0 s t i0 n s,6
e0 s t i0 n,5
e0 s t ɛ0 m,5
e0 s t ɛ0 s,5
e0 s t ɛ0 w,5
e0 s t ɛ0 n,5
e0 s t ɛ0 l,5
e0 s t ɛ0 k,5
e0 s t ɛ0 j ks,6
e0 s t e0,4
e0 s t e0 l s,6
e0 s t e0 k s,6
e0 s t ɾ ɛ0 s,6
e0 s t ɾ ɛ0 m,6
e0 s t ɾ ɛ0 m tʃ,7
e0 s t ɾ ɛ0 n,6
e0 s t ɾ ɛ0 t,6
e0 s t ɾ ɛ0 w,6
e0 s t ɾ e0,5
e0 s t ɾ e0 m s,7
e0 s t ɾ e0 ts,6
e0 s t ɾ a0,5
e0 s t ɾ a0 l,6
e0 s t ɾ a0 l s,7
e0 s t ɾ a0 ɲ,6
e0 s t ɾ a0 ɲ s,7
e0 s t ɾ a0 t,6
e0 s t ɾ a0 n t,7
e0 s t ɾ a0 n ts,7
e0 s t ɾ a0 n,6
e0 s t ɾ a0 ts,6
e0 s t ɾ a0 ʎ s,7
e0 s t ɾ w i0,6
e0 s t ɾ w ɛ0 j ks,8
e0 s t ɾ i0 s,6
e0 s t ɾ i0,5
e0 s t ɾ j a0,6
e0 s t g i0,5
e0 s t g i0 n,6
e0 s t g i0 s,6
e0 s t g e0 s,6
e0 s t g ɛ0 m,6
e0 s t g ɛ0 w,6
e0 s t g ɛ0 n,6
e0 s t g ɛ0 s,6
e0 s t j ɔ0 n s,7
e0 s t j a0,5
e0 s t j w e0 n k,8
e0 s t j ɛ0 s,6
e0 s t j ɛ0 n,6
e0 s t ɔ0 s,5
e0 s t ɔ0 ɾ s,6
e0 s t ɔ0 ɾ n,6
e0 s t ɔ0 ɾ n s,7
e0 s t ɔ0,4
e0 s t tʃ i0,5
e0 s t tʃ i0 s,6
e0 s t tʃ a0,5
e0 s k ɾ i0 t,6
e0 s k ɾ i0 ts,6
e0 s k ɾ i0 k,6
e0 s k ɾ j w ɾ e0,8
e0 s k ɾ j w ɛ0 n,8
e0 s k ɾ ɛ0 t,6
e0 s k ɾ ɛ0 j ks,7
e0 s k ɾ g i0,6
e0 s k a0,4
e0 s k a0 n s,6
e0 s k a0 n t,6
e0 s k a0 k s,6
e0 s k a0 t,5
e0 s k a0 s,5
e0 s k a0 w,5
e0 s k a0 tʃ,5
e0 s k l a0,5
e0 s k l a0 w s,7
e0 s k l a0 w,6
e0 s k l a0 t,6
e0 s k l a0 m,6
e0 s k u0 t,5
e0 s k u0 ʎ,5
e0 s k ɔ0 n s,6
e0 s k ɔ0,4
e0 s k ɔ0 s,5
e0 s k ɛ0 s,5
e0 s k ɛ0 t,5
e0 s k i0,4
e0 s k i0 s,5
e0 s k w i0 t,6
e0 s p a0 j,5
e0 s p a0 j s,6
e0 s p a0 tʃ ks,6
e0 s p a0,4
e0 s p ɾ e0,5
e0 s p ɾ ɛ0 s,6
e0 s p ɾ ɛ0 w,6
e0 s p ɾ ɛ0 n,6
e0 s p ɔ0 n,5
e0 s p ɔ0 n k,6
e0 s p ɔ0 ɾ t,6
e0 s p ɔ0 ɾ t j w,8
e0 s p ɔ0 ɾ t j w s,9
e0 s p ɔ0 ɾ ts,6
e0 s p ɔ0 t,5
e0 s p ɔ0 s t,6
e0 s p e0 ɾ ts,6
e0 s p e0 ɾ t,6
e0 s p e0 k t j w,8
e0 s p e0 k t j w s,9
e0 s p i0 ʎ,5
e0 s p l a0,5
e0 s p l a0 j,6
e0 s p ɛ0 s,5
e0 s p j ɛ0 s,6
e0 s ɛ0,3
e0 s ɛ0 s,4
e0 s ɛ0 k,4
e0 s f ɔ0 ɾ s,6
e0 s f ɛ0,4
e0 s f ɛ0 m,5
e0 s f a0,4
e0 s e0 n t,5
e0 s e0 n s,5
e0 s e0 ɾ s,5
e0 s e0 ɾ t,5
e0 s m e0 n t,6
e0 s b j a0,5
e0 s b j a0 t,6
e0 s b j a0 n t,7
e0 s b o0 s,5
e0 s g w a0,5
e0 s g w a0 ɲ,6
e0 s g w a0 ɾ d,7
e0 n b j a0,5
e0 n b j a0 t,6
e0 n b j a0 n t,7
e0 n b j ɛ0 n,6
e0 n b j ɔ0,5
e0 n b i0 n g ts,7
e0 n b i0 n g t,7
e0 n b e0 ɾ s,6
e0 n b ɔ0 l g t,7
e0 n b ɔ0 l g ts,7
e0 n t ɾ e0,5
e0 n t ɾ e0 m s,7
e0 n t ɾ e0 ts,6
e0 n t ɾ a0,5
e0 n t ɾ a0 l,6
e0 n t ɾ a0 l s,7
e0 n t ɾ a0 ɲ,6
e0 n t ɾ a0 ɲ s,7
e0 n t ɾ a0 t,6
e0 n t ɾ a0 n t,7
e0 n t ɾ a0 n ts,7
e0 n t ɾ a0 n,6
e0 n t ɾ a0 ts,6
e0 n t ɾ a0 ʎ s,7
e0 n t ɾ ɛ0 s,6
e0 n t ɾ ɛ0 m,6
e0 n t ɾ ɛ0 m tʃ,7
e0 n t ɾ ɛ0 n,6
e0 n t ɾ ɛ0 t,6
e0 n t ɾ ɛ0 w,6
e0 n t ɾ ɔ0,5
e0 n t ɾ i0 s,6
e0 n t ɾ i0,5
e0 n t i0 t,5
e0 n t i0,4
e0 n t i0 ts,5
e0 n t i0 m,5
e0 n t i0 s,5
e0 n t i0 n t,6
e0 n t i0 n s,6
e0 n t i0 n,5
e0 n t ɔ0,4
e0 n t ɔ0 ɾ s,6
e0 n t ɔ0 ɾ n,6
e0 n t ɔ0 ɾ n s,7
e0 n t e0 n k,6
e0 n t e0 n,5
e0 n t e0 n s,6
e0 n t a0,4
e0 n t a0 l,5
e0 n t a0 l s,6
e0 n t a0 ʎ,5
e0 n t j a0,5
e0 n t j ɛ0 s,6
e0 n t j ɛ0 n,6
e0 n t ɛ0 s,5
e0 n t ɛ0 n,5
e0 n t s e0,5
e0 n t l i0,5
e0 n t l a0,5
e0 n ʎ a0,4
e0 n ʎ a0 s,5
e0 n ʎ ɔ0 k,5
e0 n g w a0,5
e0 n g w a0 ɲ,6
e0 n g w a0 ɾ d,7
e0 n g w ɛ0 s,6
e0 n g a0 ɲ,5
e0 n g a0,4
e0 n g i0 n,5
e0 n g i0,4
e0 n f ɾ ɔ0 n t,7
e0 n d ɾ e0,5
e0 n d ɾ ɛ0 s,6
e0 n d ɾ ɛ0 m,6
e0 n d ɾ ɛ0 m tʃ,7
e0 n d ɾ a0,5
e0 n d ɾ a0 l,6
e0 n d ɾ a0 l s,7
e0 n d e0 n t,6
e0 n d e0 n ts,6
e0 n d e0 ɾ s,6
e0 n d a0,4
e0 n d i0 n s,6
e0 n d i0,4
e0 n d ɛ0 s,5
e0 n d ɛ0,4
e0 n d ɛ0 j ks,6
e0 n d u0,4
e0 n d u0 t,5
e0 n s a0,4
e0 n s a0 t,5
e0 n s a0 n t,6
e0 n s a0 n ts,6
e0 n s a0 ts,5
e0 n s ɔ0,4
e0 n s ɛ0 n,5
e0 n s ɛ0 m,5
e0 n s ɛ0,4
e0 n s ɛ0 w,5
e0 n s ɛ0 s,5
e0 n s e0,4
e0 n s e0 ɾ s,6
e0 n s e0 ɾ t,6
e0 n s e0 n t,6
e0 n s e0 n s,6
e0 n s w a0 l,6
e0 n s w a0 l s,7
e0 n s i0,4
e0 n s i0 s,5
e0 n s u0 ɾ t,6
e0 n s j ɔ0 n s,7
e0 n k a0,4
e0 n k a0 t,5
e0 n k a0 n s,6
e0 n k a0 n t,6
e0 n k a0 ʎ,5
e0 n ʒ e0,4
e0 n ʒ ɛ0 s,5
e0 n ʒ ɛ0 m,5
e0 n ʒ ɛ0 n,5
e0 n ʒ i0 ɲ,5
e0 n ʒ i0 ɲ s,6
e0 n tʃ m a0,5
e0 n tʃ m ɛ0 s,6
e0 ɾ ɛ0 n,4
e0 ɾ ɛ0 m,4
e0 ɾ ɛ0 m tʃ,5
e0 ɾ ɛ0 s,4
e0 ɾ ɛ0 w,4
e0 ɾ b i0,4
e0 ɾ b i0 t,5
e0 ɾ b i0 s,5
e0 ɾ b ɛ0 j s,6
e0 ɾ b ɛ0 j,5
e0 ɾ b ɛ0 j ks,6
e0 ɾ b ɛ0 ʎ,5
e0 ɾ b ɛ0 s,5
e0 ɾ b a0 l,5
e0 ɾ b a0 l s,6
e0 ɾ b a0,4
e0 ɾ b j a0,5
e0 ɾ b j a0 t,6
e0 ɾ b j a0 n t,7
e0 ɾ b j ɛ0 n,6
e0 ɾ b e0 ɾ s,6
e0 ɾ g ɔ0,4
e0 w ɾ ɔ0 s,5
e0 w ɾ ɔ0,4
e0 j n ɛ0 s,5
e0 j n a0,4
e0 j ʃ e0,4
e0 j ʃ a0,4
e0 j ʃ i0,4
e0 j ʃ i0 t,5
e0 j ʃ ɔ0 s,5
e0 j ʃ ɛ0 s,5
e0 k i0 p,4
e0 k i0 p s,5
e0 k ɔ0,3
e0 k ɔ0 s,4
e0 d a0 t,4
e0 d a0 ts,4
e0 ʃ tʃ ɛ0 j ks,6
e0 ʃ tʃ i0,4
e0 ʃ tʃ i0 m,5
e0 ʃ tʃ i0 t,5
e0 ʃ tʃ i0 n t,6
e0 ʃ tʃ e0 n t,6
e0 ʃ tʃ e0 n ts,6
e0 ʃ p e0 ɾ ts,6
e0 ʃ p e0 ɾ t,6
e0 ʃ t ɔ0 s,5
e0 ʃ t ɾ ɛ0 s,6
e0 ʃ t ɾ ɛ0 m,6
e0 ʃ t ɾ ɛ0 m tʃ,7
e0 ʃ t ɾ ɛ0 n,6
e0 ʃ t ɾ ɛ0 t,6
e0 ʃ t ɾ ɛ0 w,6
e0 ʃ t ɾ a0,5
e0 ʃ t ɾ a0 l,6
e0 ʃ t ɾ a0 l s,7
e0 ʃ t ɾ a0 ɲ,6
e0 ʃ t ɾ a0 ɲ s,7
e0 ʃ t ɾ a0 t,6
e0 ʃ t ɾ a0 n t,7
e0 ʃ t ɾ a0 n ts,7
e0 ʃ t ɾ a0 n,6
e0 ʃ t ɾ a0 ts,6
e0 ʃ t ɾ a0 ʎ s,7
e0 ʃ t ɾ e0,5
e0 ʃ t ɾ e0 m s,7
e0 ʃ t ɾ e0 ts,6
e0 ʃ t e0 ɾ n,6
e0 ʃ t e0 ɾ n s,7
e0 ʃ t e0 n k,6
e0 ʃ t e0 n,5
e0 ʃ t e0 n s,6
e0 ʃ t w a0 l,6
e0 ʃ t w a0 l s,7
e0 ʃ s e0 s,5
e0 ʃ s e0 s j w,7
e0 ʃ k l u0 s j w,8
e0 ʃ k l ɔ0 w,6
e0 t e0 ɾ n,5
e0 t e0 ɾ n s,6
e0 t a0,3
e0 m ɛ0 s,4
e0 m ɛ0 t,4
e0 m ɔ0 t j w,6
e0 m ɔ0 t j w s,7
e0 m p l e0,5
e0 m p l e0 ɾ s,7
e0 m p l ɛ0 s,6
e0 m p l ɛ0 ks,6
e0 m p e0 ɲ,5
e0 m p ɾ a0,5
e0 m p ɾ a0 t,6
e0 m p ɛ0 w s,6
e0 m tʃ ɾ a0,5
e0 m b l a0,5
e0 m b l a0 n t,7
e0 m b l a0 n ts,7
e0 m b l a0 t,6
e0 m b l ɛ0 n,6
e0 m b l ɛ0 s,6
e0 m b l i0,5
e0 m b ɾ ɛ0,5
e0 m b ɾ ɛ0 s,6
e0 m b ɾ ɛ0 w,6
e0 m b ɾ e0,5
e0 m b ɾ a0,5
e0 m b ɾ a0 n t,7
e0 m b ɾ a0 n ts,7
e0 m b ɾ a0 n,6
e0 m b u0 ts,5
e0 g ɔ0,3
e0 f e0 k t j w,7
e0 f e0 k t j w s,8
e0 b ɾ ɛ0,4
e0 b ɾ ɛ0 s,5
e0 b ɾ ɛ0 w,5
e0 b ɾ e0,4
e0 b ɾ ɔ0 t,5
e0 b ɾ ɔ0 ts,5
e0 b ɾ a0,4
e0 b ɾ a0 n t,6
e0 b ɾ a0 n ts,6
e0 b ɾ a0 n,5
e0 l i0 ts,4
b ɛ0 w ɾ e0,5
b ɛ0 w ɾ ɔ0 s,6
b ɛ0 w ɾ ɔ0,5
b ɛ0 w ɾ ɛ0 m,6
b ɛ0 w ɾ ɛ0 w,6
b ɛ0 w ɾ ɛ0 w s,7
b ɛ0 w ɾ ɛ0 s,6
b ɛ0 w ɾ ɛ0 l,6
b ɛ0 w ɾ ɛ0 l s,7
b ɛ0 w ɾ ɛ0 n,6
b ɛ0 w ɾ ɛ0 n s,7
b ɛ0 w ɾ ɛ0 t,6
b ɛ0 w ɾ a0,5
b ɛ0 w ɾ a0 s,6
b ɛ0 w ɾ a0 n,6
b ɛ0 w ɾ j a0,6
b ɛ0 w ɛ0 s,5
b ɛ0 w ɛ0 n,5
b ɛ0 w ɛ0 m,5
b ɛ0 i0 n s,5
b ɛ0 i0,3
b ɛ0 n i0,4
b ɛ0 n i0 m,5
b ɛ0 n i0 n t,6
b ɛ0 n i0 s,5
b ɛ0 n ɛ0,4
b ɛ0 n ɛ0 n,5
b ɛ0 n ɛ0 s,5
b ɛ0 n ɛ0 m,5
b ɛ0 n j a0,5
b ɛ0 n j a0 l,6
b ɛ0 n j a0 l s,7
b ɛ0 n j ɛ0 n,6
b ɛ0 n j ɛ0 s,6
b ɛ0 n j ɔ0 n s,7
b ɛ0 n j ɔ0,5
b ɛ0 n u0,4
b ɛ0 n u0 t,5
b ɛ0 n u0 ts,5
b ɛ0 n u0 s,5
b ɛ0 n s a0,5
b ɛ0 n s a0 t,6
b ɛ0 n s ɛ0,5
b ɛ0 n s ɔ0 l t,7
b ɛ0 n s ɔ0 l s,7
b ɛ0 n s ɔ0 l,6
b ɛ0 n s u0 t,6
b ɛ0 n s j a0,6
b ɛ0 n a0,4
b ɛ0 n a0 t,5
b ɛ0 n a0 l,5
b ɛ0 n a0 l s,6
b ɛ0 n a0 s,5
b ɛ0 ʎ a0,4
b ɛ0 ʎ a0 t,5
b ɛ0 ʎ ɛ0 s,5
b ɛ0 ʎ ɛ0 w,5
b ɛ0 ʎ ɛ0,4
b ɛ0 j ɛ0 m,5
b ɛ0 j ɛ0 n,5
b ɛ0 j ɛ0 w,5
b ɛ0 j ɛ0 s,5
b ɛ0 j e0 n t,6
b ɛ0 j e0 n ts,6
b ɛ0 j a0,4
b ɛ0 j a0 l,5
b ɛ0 j a0 l s,6
b ɛ0 s ɛ0 s,5
b ɛ0 s ɛ0,4
b ɛ0 s ɛ0 n,5
b ɛ0 s t j a0,6
b ɛ0 s t j ɛ0 s,7
b ɛ0 s t e0,5
b ɛ0 s ɔ0 s,5
b ɛ0 s ɔ0,4
b ɛ0 s ɔ0 ɾ s,6
b ɛ0 s ɔ0 l t,6
b ɛ0 s ɔ0 l s,6
