word,len
m a0 l,3
m a0 d ã,4
m a0 d ã m,5
m a0 d ã l,5
m a0 d ã n,5
m a0,2
m a0 t ʃ,4
m a0 t,3
m a0 t ã,4
m a0 t ã s j õ,7
m a0 t ã s j,6
m a0 t ã n,5
m a0 t ã t,5
m a0 t ã d ã,6
m a0 k,3
m a0 s,3
m a0 s õ,4
m a0 s s,4
m a0 s s j,5
m a0 s s ã t,6
m a0 ʃ ã m,5
m a0 ʃ ã n,5
m a0 ʃ ã,4
m a0 ʃ,3
m a0 w õ,4
m a0 ɣ s,4
m a0 ɣ s h ã s j õ,9
m a0 ɣ s h ã s j,8
m a0 ɣ õ,4
m a0 ɣ t,4
m a0 ɣ t j,5
m a0 j,3
m a0 b,3
m e0 t,3
m e0 ʃ ã,4
m e0 ʃ ã ʒ,5
m e0 ʃ ã t,5
m e0,2
m e0 m,3
m e0 s,3
m e0 l ã ʒ,5
m e0 ã,3
m e0 d ã,4
m e0 d ã m s j õ,8
m e0 d ã m,5
m e0 d,3
m e0 z õ,4
m e0 ɣ,3
m ɛ0 t,3
m ɛ0,2
m ɛ0 s,3
m ɛ0 ɡ,3
m ɛ0 m,3
m ɛ0 b,3
m p a0,3
m p a0 p,4
m p a0 t,4
m p a0 t w õ,6
m p a0 t ɣ õ,6
m p ɣ a0 l,5
m p ɣ a0 l p h,7
m p ɣ a0,4
m p ã s e0,5
m p ã s e0 w,6
m p ã s e0 m,6
m p ã s e0 m ã,7
m p ã s e0 m ã d,8
m p ã s e0 m ã n,8
m p ã s e0 m ã s,8
m p ã s e0 l m ã,8
m p ã s e0 l,6
m p ã s e0 l õ,7
m p ã s e0 l ʒ ã,8
m p ã s e0 j,6
m p ã s e0 j ã s j õ,10
m p ã s e0 j ã s,8
m p ã s e0 j ã,7
m p w a0 l,5
m p w a0 l k,6
m p w a0,4
m p w a0 s õ,6
m p w a0 s ã t,7
m p w a0 s ã,6
m p w a0 s ã s,7
m p w a0 s,5
m p w a0 z õ,6
m p w a0 z ã,6
m p i0,3
m i0 t ã,4
m i0 t h,4
m i0 l,3
m i0 l j õ,5
m i0 l ã s,5
m i0 l ã,4
m i0 s s,4
m i0 s j õ,5
m i0 s k,4
m i0 s,3
m i0,2
m i0 n,3
m i0 n m,4
m i0 n d,4
m i0 n s,4
m i0 m,3
m ɔ0 n,3
m ɔ0,2
m ɔ0 d,3
m ɔ0 m õ,4
m ɔ0 l,3
m ã t i0,4
m ã t i0 w,5
m ã t i0 m ũ,6
m ã t i0 m ũ n,7
m ã t i0 m,5
m ã t i0 m ã ʃ,7
m ã t i0 m ã,6
m ã t i0 m ã s j õ,9
m ã t i0 l l,6
m ã t i0 l,5
m ã t i0 k,5
m ã t i0 s,5
m ã t i0 j,5
m ã t a0 l,5
m ã t a0 l õ,6
m ã t a0 l ã,6
m ã t a0 l ã s,7
m ã t a0 l ã d j,8
m ã t a0,4
m ã t a0 s j õ,7
m ã t a0 s j ã s,8
m ã t a0 s j ã,7
m ã t a0 s,5
m ã t o0 m,5
m ã t o0,4
m ã t ɔ0,4
m ã k e0,4
m ã k e0 m,5
m ã j ɛ̃0,4
m ã j ɛ̃0 l,5
m ã j ɛ̃0 m,5
m ã j ɛ0,4
m ã j e0,4
m ã j ɔ0 l,5
m ã j ɔ0 k,5
m ã v i0,4
m ã v i0 w,5
m ã v i0 w õ,6
m ã v i0 ɣ õ,6
m ã d e0 d ã,6
m ã d e0 d ã m s j õ,10
m ã d e0 d ã m,7
m ã d e0 m,5
m ã d e0 m ã,6
m ã d e0 m ã d,7
m ã d e0 m ã n,7
m ã d e0 m ã s,7
m ã d e0 m õ n,7
m ã d e0 m õ,6
m ã d e0 m õ d,7
m ã d e0 l,5
m ã d e0 w,5
m ã d e0,4
m ã d a0 ɣ t,6
m ã d a0 ɣ t j,7
m ã d a0,4
m ã d a0 l,5
m ã m i0 w,5
m ã m i0 m,5
m ã m i0,4
m ã m i0 j,5
m ã m i0 l,5
m ã m i0 l j õ,7
m ã m i0 l ã s,7
m ã m i0 l ã,6
m ã n o0,4
m ã z ɛ0,4
m ã z e0,4
m ã b a0,4
m ã b a0 l,5
m ã b a0 l õ,6
m ã b a0 l ã,6
m ã b a0 l ã s,7
m ã b a0 l ã d j,8
m ã b a0 l l,6
m ã b a0 l l õ,7
m ã b ɣ a0,5
m ã b ɣ a0 j,6
m ã b ɣ a0 l,6
m ã b ɣ a0 l p h,8
m ã b ɣ a0 s,6
m ã b ɣ a0 s j õ,8
m ã b ɣ a0 s j ã s,9
m ã b ɣ a0 s j ã,8
m ã b ɣ a0 n,6
m ã b ɣ a0 v,6
m ã b ɣ a0 v ã,7
m ã b ɣ a0 v ã n,8
m ã b ɣ a0 v ã s,8
m ã b ɣ a0 v ã s j õ,10
m ã b ɣ a0 v ã s j,9
m ã b ɣ a0 v ã w,8
m ã b ɣ a0 v ã m,8
m ã b ɣ a0 v ã l,8
m ã b ɣ a0 v ã t,8
m ã b ɣ a0 w,6
m ã b o0,4
m ã ʒ e0,4
m ã ʒ e0 l,5
m ã ʒ e0 m,5
m ã ʒ e0 w,5
