word,len
l ɛ0,2
l ɛ0 tː,3
l ɛ0 n t,4
l ɛ0 n g,4
l ɛ0 l t,4
l ɛ0 p,3
l aː0 ɲ,3
l aː0 ɲ t,4
l aː0 ʃ d,4
l aː0 t,3
l aː0 t s,4
l aː0 m,3
l aː0 b,3
l aː0 n ts,4
l aː0 n g,4
l aː0 ɟ,3
l ɑ0 p,3
l eː0 ɲ,3
l eː0 ɲ t,4
l eː0 ɟ,3
l eː0 p,3
l eː0 t,3
l i0 n k,4
l i0 s t,4
l oː0,2
l oː0 g,3
l o0 r d,4
l o0 p,3
k i0 ʃ,3
k i0 k,3
k i0 n t,4
k i0 n tʃ,4
k i0 t,3
k eː0 p,3
k eː0 s,3
k eː0 k,3
k eː0 r t,4
k eː0 r t ʃ d,6
k eː0 r,3
k eː0 r j,4
k eː0 z,3
k eː0 ʃ t,4
k eː0 ʃ,3
k eː0 n t,4
k o0 r,3
k ø0 ɲ v,4
k ø0 z t,4
k ø0 z,3
k ø0 r,3
k ø0 r t,4
k ø0 d,3
k ø0 t,3
k ø0 ɲː,3
k ɛ0 dː,3
k ɛ0 z d,4
k ɛ0 z dː,4
k ɛ0 l t,4
k ɛ0 l,3
k ɛ0 r t,4
k ɛ0 k s,4
k ɛ0 d v,4
k ɑ0 p,3
k ɑ0 p s,4
k ɑ0 r d,4
k ɑ0 r,3
k aː0 r,3
k aː0 r t,4
k l u0 b,4
k l i0 p,4
k l ɑ0 sː,4
k øː0,2
k u0 l tʃ,4
k oː0 d,3
k y0 l d,4
k y0 l d j,5
k y0 l dː,4
k y0 z d,4
k m ɛ0 ʃ,4
k m r ɛ0,4
k uː0 t,3
h aː0 t,3
h aː0 z,3
h aː0 ɲ,3
h aː0 l,3
h o0 l,3
h o0 l d,4
h o0 l t,4
h o0 z,3
h eː0 t,3
h eː0 v,3
h ɑ0 t,3
h ɑ0 dː,3
h ɑ0 n g,4
h ɑ0 l t,4
h ɑ0 l,3
h ɑ0 l k,4
h ɑ0 r ts,4
h ɑ0 ɟ,3
h ɑ0 ɟ d,4
h ɑ0 ɟ j,4
h ɑ0 j,3
h ɑ0 j t,4
h ɑ0 lː,3
h ɑ0 b,3
h ɛ0 j,3
h ɛ0 j t,4
h ɛ0 ɟ,3
h iː0 r,3
h iː0 r t,4
h iː0 d,3
h iː0 v,3
h i0 s,3
h i0 t,3
h i0 dː,3
h i0 tː,3
h uː0 s,3
h uː0 ʃ t,4
h uː0 ʃ,3
h uː0 z,3
h oː0,2
h ø0 l ɟ,4
h yː0,2
h yː0 ʃ,3
h øː0 ʃ,3
h u0 ɲ t,4
h u0 lː,3
j oː0 l,3
j oː0 t,3
j oː0 k,3
j o0 bː,3
j o0 g,3
j ø0 n,3
j ø0 tː,3
j ø0 sː,3
j aː0 r,3
j aː0 r t,4
j aː0 r s,4
j aː0 r j,4
j ɑ0,2
j ɑ0 j,3
j u0 t,3
j u0 k,3
j ɛ0 l,3
j ɛ0 l t,4
j ɛ0 ɟ,3
j eː0 g,3
m ɑ0,2
m ɑ0 r,3
m ɑ0 g,3
m ɑ0 s k,4
m ɛ0 j,3
m ɛ0 ɟ,3
m ɛ0 n t,4
m ɛ0 n j,4
m ɛ0 r,3
m ɛ0 tʃː,3
m ɛ0 ɲː,3
m ɛ0 ɟː,3
m i0 n d,4
m i0 n,3
m i0 k,3
m i0 j,3
m iː0 g,3
m uː0 l t,4
m aː0 ʃ t,4
m aː0 j,3
m aː0 n,3
m o0 n d,4
m o0 n d j,5
m o0 n dː,4
m o0 l,3
m eː0 j,3
m eː0 r t,4
m eː0 r t ʃ d,6
m eː0 s,3
m eː0 z,3
m yː0,2
m oː0 d,3
m oː0 r,3
aː0 t,2
aː0 lː,2
aː0 lː t,3
aː0 lː j,3
aː0 lː s,3
aː0 m,2
aː0 r,2
aː0 r t,3
aː0,1
aː0 ɟ,2
aː0 g,2
aː0 ʃ,2
r aː0,2
r aː0 m,3
r aː0 n k,4
r aː0 d,3
r aː0 k,3
r aː0 tʃ,3
r o0 sː,3
r eː0 s t,4
r eː0 s,3
r eː0 g,3
r eː0 z,3
r ɛ0 n d,4
r ɛ0 j t,4
r ɑ0 j z,4
r i0 ʒ,3
t ɛ0,2
t ɛ0 tː,3
t ɛ0 s,3
t ɛ0 s t,4
t ɛ0 ʃ t,4
t ɛ0 l t,4
t ɛ0 r v,4
t ɛ0 dː,3
t ɛ0 j,3
t uː0 l,3
t uː0 s,3
t u0 d,3
t u0 d s,4
t u0 d j,4
t u0 dː,3
t iː0 z,3
t eː0 r,3
t eː0 r t,4
t eː0 r t ʃ d,6
t eː0 ɲ,3
t eː0 ɲ t,4
t eː0 l,3
t eː0 ɟ,3
t eː0 t,3
t ɑ0 r t,4
t ɑ0 r t ʃ d,6
t ɑ0 g,3
t ɑ0 n,3
t ɑ0 n k,4
t i0,2
t i0 pː,3
t i0 s t,4
t yː0 n t,4
t yː0 z,3
t ø0 k,3
t ø0 l t,4
t ø0 l t ʃ d,6
t ø0 r t,4
t ø0 r,3
t ø0 r ʒ,4
t ø0 m b,4
t aː0 r ɟ,4
t aː0 r,3
t aː0 r ʃ,4
t aː0 r t,4
t aː0 n ts,4
t aː0 n,3
t aː0 j,3
t aː0 g,3
t aː0 l,3
t o0 p,3
t o0 k,3
t o0 r z,4
t oː0,2
t r ɛ0 n d,5
t r ɛ0 sː,4
t r ɛ0 sː t,5
t r y0 kː,4
b aː0 r,3
b aː0 n t,4
b ɑ0 j,3
b ɑ0 j t,4
b ɑ0 l,3
