word,len
ɛ0,1
ɛ0 ɾ tʰ,3
ɛ0 ɾ tʰ s,4
ɛ0 ɾ s,3
ɛ0 ɾ n s t’,5
ɛ0 g,2
ɛ0 l,2
ɛ0 l tʃ s,4
ɛ0 kʰ v s,4
ɛ0 n,2
ɛ0 n d,3
ɛ0 s p’,3
ɛ0 d,2
ɛ0 tʃ’ v s,4
ɛ0 b ɾ,3
dʒ ɛ0 ɾ,3
dʒ ɛ0 k’,3
dʒ ɛ0 pʰ,3
dʒ ɔ0 n,3
dʒ ɔ0 n s,4
dʒ ɔ0 ɾ dʒ,4
dʒ ɔ0 ɾ dʒ s,5
dʒ ɔ0,2
dʒ ɔ0 ʃ,3
dʒ g u0 pʰ s,5
dʒ g u0 pʰ,4
dʒ v ɾ i0 s,5
dʒ v ɾ i0 l,5
dʒ v ɾ i0 l s,6
dʒ v ɾ i0 tʰ,5
dʒ v ɑ0 ɾ,4
dʒ v ɑ0 ɾ tʰ,5
dʒ v ɑ0 ɾ tʰ l,6
dʒ v ɑ0 ɾ tʰ l s,7
dʒ v ɑ0 ɾ s,5
dʒ v ɑ0 ɾ s s,6
dʒ ɑ0 ɾ s,4
dʒ ɑ0 ɾ s s,5
dʒ ɑ0 z,3
dʒ i0 m,3
dʒ i0 n,3
ɑ0 ɾ ts,3
ɑ0 ɾ s,3
ɑ0 ɾ s s,4
ɑ0 ɾ t’ s,4
ɑ0 ɾ t’,3
ɑ0 ɾ kʰ,3
ɑ0 ɾ x s,4
ɑ0,1
ɑ0 kʰ v tʰ,4
ɑ0 kʰ v s,4
ɑ0 kʰ t’ s,4
ɑ0 ʃ ʃ,3
ɑ0 ʃ ʃ s,4
ɑ0 tʰ,2
ɑ0 l,2
ɑ0 x,2
ɑ0 z ɾ s,4
ɑ0 z,2
ɑ0 v t’,3
ɑ0 s,2
ɑ0 s l s,4
ɑ0 s s,3
ɑ0 s s ɾ,4
ɑ0 ts’,2
ɑ0 d,2
ɑ0 ɣ,2
ɑ0 ɣ m,3
ɑ0 k’,2
d ɣ ɛ0 s,4
d ɣ ɛ0,3
d ɣ ɛ0 d,4
d ɣ i0 s,4
d ɣ i0 tʰ,4
d i0 d,3
d i0 d s,4
d i0,2
d i0 s,3
d i0 s k’ s,5
d i0 k’,3
d i0 pʰ,3
d ɛ0,2
d ɛ0 b s,4
d ɛ0 l,3
d ɛ0 l s,4
d ɛ0 n,3
d ɛ0 n s,4
d ɛ0 v s,4
d ɛ0 ɾ,3
d ɾ ɔ0,3
d ɾ ɔ0 ts,4
d g ɑ0 s,4
d g ɑ0 ɾ s,5
d g ɑ0 ɾ s s,6
d g ɑ0 ɾ,4
d g ɑ0 m s,5
d ɑ0 n,3
d ɑ0 s,3
d ɑ0 b,3
d ɑ0 ɾ tʰ,4
d ɑ0 ɾ tʰ l,5
d ɑ0 ɾ tʰ l s,6
d ɑ0 ɾ,3
d ɑ0 ɾ g,4
d ɑ0 ɾ g s,5
d ɔ0 n,3
d ɔ0,2
d n m i0 s,5
d n m i0 s tʰ,6
ts’ i0 n,3
ts’ i0 g n s,5
ts’ i0 l s,4
ts’ q’ l i0 s,5
ts’ q’ l i0 tʰ,5
ts’ q’ l ɛ0 b s,6
ts’ q’ ɑ0 l s,5
ts’ q’ n ɑ0 ɾ,5
ts’ q’ v i0 l s,6
ts’ q’ v i0 l,5
ts’ q’ v i0 s,5
ts’ q’ v ɛ0 d,5
ts’ q’ v ɛ0,4
ts’ q’ v ɛ0 t’ s,6
ts’ l i0 tʰ,4
ts’ l ɛ0 b s,5
ts’ ɛ0 ɾ s,4
ts’ ɛ0 ɾ,3
ts’ ɛ0 v ɾ,4
ts’ ɛ0 v ɾ s,5
ts’ ɛ0 v s,4
ts’ ɛ0 s s,4
ts’ ɾ ɛ0,3
ts’ ɾ i0 s,4
ts’ v ɾ i0 s,5
ts’ v ɾ i0 l,5
ts’ v ɾ i0 l s,6
ts’ v ɾ i0 tʰ,5
ts’ v ɛ0 n,4
ts’ v ɛ0 n s,5
ts’ v ɛ0 n ts,5
ts’ v i0 s,4
ts’ u0 tʰ s,4
ts’ ɑ0 m s,4
ts’ ɑ0 m tʰ,4
s u0 l,3
s u0 l s,4
s u0 ɾ s,4
s u0 ɾ s s,5
s u0 ɾ tʰ,4
s u0 ɾ tʰ s,5
s u0,2
s u0 s t’,4
s u0 s,3
s ɑ0 m,3
s ɑ0 m x ɾ,5
s ɑ0 d,3
s ɑ0 n,3
s ɑ0 n s,4
s ɑ0 n s k’,5
s ɑ0 n s k’ ɾ,6
s ɑ0 n s s,5
s ɑ0 n k’,4
s ɑ0 n k’ s,5
s ɑ0 n k’ t’,5
s ɑ0,2
s ɑ0 x l s,5
s ɑ0 x,3
s ɔ0 pʰ,3
s ɔ0 m x,4
s ɔ0 ts,3
s s ɾ k’ i0 s,6
s s ɾ k’ ʃ i0,6
s ɾ u0 l,4
s ɛ0 ɾ,3
s ɛ0 m,3
s ɛ0 n,3
s ɛ0 n t’ ɾ s,6
s ɛ0 n t’ ɾ,5
s ɛ0 n t’,4
s ɛ0 kʰ s t’ s,6
s ɛ0 kʰ s s,5
s t’ i0 v,4
s t’ i0 l s,5
s t’ ɛ0 n,4
s t’ ɔ0 ɾ m,5
s i0,2
s i0 s x l s,6
s i0 d,3
s i0 n g l,5
s i0 n g l s,6
s i0 n g,4
s x v ɛ0 ɾ ts,6
s x v ɛ0 ɾ ts x s,8
s x v ɛ0 ɾ p’ l s,8
s x v ɛ0 ɾ d s,7
s x v ɛ0 b s,6
s x v ɛ0 b,5
s x v i0 l s,6
s x v i0 l,5
s x v i0 s,5
s x v ɑ0 l s,6
s x v ɑ0 l,5
s x v ɑ0 s,5
s x v ɑ0 m s,6
s x v ɑ0 m,5
s m m d ɛ0,5
s tʰ x ɔ0 v tʰ,6
s tʰ x ɔ0 v s,6
s tʰ x ɔ0 v,5
s tʰ kʰ v ɛ0 ʃ,6
s tʰ kʰ v ɛ0 n,6
s tʰ kʰ v ɛ0 n s,7
s tʰ kʰ v ɛ0 n ts,7
s tʰ kʰ v ɛ0 s t’,7
s tʰ kʰ v ɛ0 s t’ s,8
s tʰ kʰ v ɛ0 s,6
s tʰ kʰ v ɛ0 b s,7
s tʰ kʰ v ɛ0 b,6
s tʰ kʰ v ɑ0,5
s tʰ kʰ v ɑ0 tʰ,6
s tʰ kʰ v ɑ0 s,6
s tʰ kʰ v i0 s,6
s tʰ kʰ v i0 tʰ,6
s tʰ kʰ v i0,5
s tʰ ɑ0 n,4
s dʒ ɔ0 b s,5
s ts ɛ0 m s,5
s ts n ɔ0,4
s ts n ɔ0 b s,6
