word,len
n aː0,2
n aː0 n,3
n aː0 k,3
n aː0 ʋ,3
n aː0 ɡ,3
n aː0 m,3
n aː0 l k,4
n aː0 r t̪,4
n iː0,2
n iː0 ʋ,3
n iː0 n,3
n iː0 r,3
n iː0 l,3
n a0,2
n a0 n,3
n a0 n ɡ,4
n a0 m,3
n a0 m ɡ,4
n a0 nː,3
n a0 r s,4
n a0 mː,3
n eː0,2
n eː0 m,3
n j uː0 s,4
n j uː0,3
n i0,2
n i0 n,3
n i0 n ɡ,4
n i0 n ɡ ɭ,5
n i0 m,3
n i0 m ɡ,4
n i0 nː,3
n i0 k,3
n i0 mː,3
n e0 ʈ,3
n e0,2
n e0 n p,4
n e0 k,3
n e0 s,3
n oː0,2
n oː0 ʈ,3
n oː0 ʈ s,4
n oː0 ʋ,3
n u0,2
n uː0,2
n uː0 r,3
n o0,2
b l aː0 ɡ,4
b l aː0 k,4
b l aː0,3
b l oː0 ɡ,4
b l uː0,3
b l eː0 ɖ,4
b l o0 ɡ,4
b a0,2
b a0 s,3
b a0 n d̪,4
b a0 n d̪ r,5
b a0 n t̪,4
b a0 n s,4
b a0 n k,4
b a0 n,3
b a0 dʒ,3
b a0 r t̪,4
b a0 r,3
b a0 r d̪,4
b a0 t̪ t̪,4
b a0 sː,3
b aː0,2
b aː0 m b,4
b aː0 s,3
b aː0 j,3
b aː0 j s,4
b aː0 t̪,3
b aː0 r,3
b aː0 ɳ ɖ,4
b aː0 k s,4
b aː0 ɡ,3
b aː0 l,3
b aː0 b,3
b aː0 t̪ʰ,3
b i0,2
b i0 l,3
b i0 ɡ,3
b i0 ʈ,3
b i0 ʈː,3
b i0 n,3
b i0 d̪ d̪,4
b u0 k,3
b u0 ʂ,3
b u0 l,3
b e0,2
b e0 s ʈ,4
b e0 ɖ,3
b e0 l,3
b e0 l ʈ,4
b e0 n tʃ,4
b e0 n,3
b j aː0 n k s,6
b j aː0 n k,5
b j aː0 n,4
b j aː0 n s,5
b j aː0 n ɡ,5
b j aː0 ɡ,4
b j aː0,3
b j aː0 ɳ ɖ,5
b j aː0 ɳ ʈ,5
b j aː0 k,4
b j aː0 ɖ,4
b r eː0 k,4
b r e0 ɖ,4
b r e0 k ʈ,5
b r a0 ʃ,4
b r aː0 ɳ ɖ,5
b oː0 r ɖ,4
b oː0 r,3
b oː0,2
b oː0 s,3
b iː0 tʃ,3
b iː0 ʈ,3
b iː0 r,3
b iː0,2
b eː0,2
b eː0 ɡ,3
b eː0 s,3
b uː0 ʈ,3
b uː0 ʈ s,4
b ɭ e0,3
b o0,2
r a0,2
r a0 n,3
r a0 ʃ,3
r uː0,2
r uː0 m,3
r uː0 n,3
r uː0 l s,4
r iː0,2
r iː0 l,3
r aː0 dʒ,3
r aː0 ʋ,3
r aː0,2
r aː0 m,3
r aː0 l pʰ,4
r aː0 j,3
r aː0 k,3
r aː0 p,3
r aː0 t̪,3
r u0,2
r i0 s k,4
r i0 s,3
r i0,2
r i0 n ɡ,4
r i0 n ɡ ɭ,5
r i0 tʃ,3
r eː0 p,3
r eː0,2
r eː0 s,3
r eː0 ʈ,3
r oː0 ɖ,3
r oː0 s,3
r oː0 l,3
r oː0,2
r e0 ɖ,3
r e0 s,3
r e0 s ʈ,4
r e0,2
d̪ u0,2
d̪ u0 ɖ,3
d̪ a0,2
d̪ a0 ʈ s,4
d̪ a0 t̪,3
d̪ e0,2
d̪ i0,2
d̪ i0 l,3
d̪ i0 s,3
d̪ i0 n,3
d̪ eː0,2
d̪ eː0 ʋ r,4
d̪ uː0,2
d̪ o0 ɖ,3
d̪ o0,2
d̪ aː0 s,3
d̪ aː0,2
d̪ aː0 l,3
d̪ oː0,2
d̪ oː0 s t̪,4
d̪ r a0,3
d̪ r e0,3
e0 s,2
e0,1
e0 n,2
e0 l,2
e0 tʃ,2
e0 m,2
e0 ʂ ʈ,3
e0 k s,3
e0 pʰ,2
e0 r ɖ,3
e0 ɳ ɖ,3
e0 ɳ ɖ s,4
e0 lː,2
ɡ e0,2
ɡ e0 s ʈ,4
ɡ e0 ʈ,3
ɡ a0,2
ɡ a0 n,3
ɡ a0 r l ɖ,5
ɡ a0 r l,4
ɡ a0 r,3
ɡ u0,2
ɡ u0 ɖ,3
ɡ oː0,2
ɡ oː0 l ɖ,4
ɡ eː0 ʈ,3
ɡ eː0 ʈ s,4
ɡ eː0,2
ɡ eː0 m,3
ɡ j aː0 s,4
ɡ j aː0 n k s,6
ɡ j aː0 n k,5
ɡ j aː0 n,4
ɡ j aː0 n s,5
ɡ j aː0 n ɡ,5
ɡ aː0,2
ɡ aː0 s,3
ɡ aː0 ɖ,3
ɡ aː0 r ɖ,4
ɡ uː0,2
ɡ uː0 ɡ l,4
ɡ r eː0 ʈ,4
ɡ r eː0 s,4
ɡ r iː0 n,4
ɡ r iː0 k,4
ɡ r aː0 n,4
ɡ r aː0 n s,5
ɡ r aː0 n ɡ,5
ɡ r uː0 p,4
ɡ r a0,3
ɡ r j aː0 ɳ ɖ,6
ɡ r j aː0 ɳ ʈ,6
ɡ i0 pʰ ʈ,4
ɡ i0,2
ɡ i0 l ʈ,4
ɡ l aː0 s,4
ɡ l aː0 s ʈ,5
ɡ l i0 ʂ,4
ɡ o0,2
ɡ ʋ e0 l,4
ɡ ʋ e0 l pʰ,5
ʃ r iː0,3
ʃ eː0,2
ʃ eː0 k s,4
ʃ eː0 ʋ,3
ʃ aː0,2
ʃ aː0 k,3
ʃ aː0 r k,4
ʃ aː0 r k s,5
ʃ aː0 r p,4
ʃ aː0 r ʈ,4
ʃ aː0 p,3
ʃ a0,2
ʃ a0 r ʈ,4
ʃ a0 n,3
ʃ oː0,2
ʃ uː0,2
ʃ uː0 ʈ,3
ʃ i0 pʰ ʈ,4
ʃ i0 p,3
ʃ iː0 ʈ,3
ʃ j aː0 m p,5
ʃ j aː0 m,4
a0,1
a0 j,2
a0 j s,3
a0 ʋ r,3
a0 ʋ ʈ,3
a0 ʋ ɭ,3
a0 l,2
a0 p,2
a0 ɳ ɖ,3
a0 d̪,2
a0 m b r,4
a0 n,2
a0 n t̪,3
a0 n d̪,3
a0 n d̪ r,4
a0 r,2
a0 pʰ,2
a0 ʈ,2
s a0 r,3
s a0 r tʃ,4
s a0,2
s a0 n,3
s a0 b,3
s a0 ɳː,3
s a0 t̪,3
s aː0 r,3
s aː0 j b r,5
s aː0 pʰ ʈ,4
s aː0,2
s aː0 k,3
s aː0 t̪ʰ,3
s aː0 b,3
s aː0 l ʈ,4
s i0,2
s i0 n ɡ,4
s i0 n ɡ ɭ,5
s i0 k s,4
s i0 kʰ,3
s i0 l k,4
s i0 ʈ,3
s u0,2
