word,len
dʒ o0 l,3
dʒ ɑ0 ʃ,3
dʒ ɑ0 n,3
dʒ ɑ0 n r,4
dʒ ɑ0,2
dʒ ɑ0 j,3
dʒ ɑ0 k,3
dʒ ɑ0 r,3
dʒ ɑ0 r k,4
dʒ ɑ0 z,3
dʒ ɑ0 t,3
dʒ ɑ0 l,3
dʒ ɑ0 p,3
dʒ oː0 p,3
dʒ oː0,2
dʒ oː0 n,3
dʒ oː0 ʃ,3
dʒ y0 z,3
dʒ y0 k,3
dʒ y0 n,3
dʒ y0 r,3
dʒ ø0 n,3
dʒ e0 k,3
dʒ e0 p,3
dʒ e0 z,3
dʒ e0 j,3
dʒ e0 j t,4
dʒ e0 l,3
dʒ e0 ŋ,3
dʒ e0 m,3
dʒ e0 n,3
dʒ e0 r ɡ,4
dʒ u0 r t,4
dʒ u0 p,3
dʒ u0,2
dʒ u0 n,3
dʒ u0 t,3
dʒ u0 z,3
dʒ u0 k,3
dʒ ɑː0 p,3
dʒ ɑː0,2
dʒ ɑː0 t,3
dʒ ɑː0 n,3
dʒ ɑː0 k,3
dʒ ɑː0 j t,4
dʒ uː0 p,3
dʒ uː0 ʃ,3
dʒ uː0,2
dʒ øː0,2
dʒ øː0 t,3
dʒ i0 p,3
dʒ i0 z n,4
dʒ i0 n,3
dʒ d ø0,3
dʒ d ɑ0 n,4
dʒ d ɯ0 n,4
dʒ ɯ0 ʃ,3
dʒ ɯ0 k,3
dʒ ɯ0 t,3
dʒ eː0 k,3
dʒ ʃ ɯ0,3
dʒ ʃ d ɯ0 n,5
dʒ ɡ e0,3
s ø0 z,3
s uː0,2
s uː0 k,3
s uː0 r,3
s uː0 j,3
s o0 ŋ,3
s o0 t,3
s o0 l,3
s o0 m,3
s o0 n,3
s o0 v,3
s o0,2
s e0 n,3
s e0 k,3
s e0 r b,4
s e0 l,3
s e0 p,3
s e0 s,3
s e0 z d,4
s ɑ0 j,3
s ɑ0 j t,4
s ɑ0 k,3
s ɑ0 p,3
s ɑ0 l t,4
s ɑ0 l,3
s ɑ0 n,3
s ɑ0 r t,4
s ɑ0 z,3
s ɑ0,2
s ɑː0 t,3
s ɑː0 l,3
s ɑː0 p,3
s ɑː0 m,3
s p o0 r t,5
s i0 z,3
s i0 n,3
s ɯ0 r,3
s ɯ0 r t,4
s ɯ0 j,3
s ɯ0,2
s ɯ0 z,3
s y0 t,3
s y0 j,3
s y0 r,3
s øː0 k,3
s oː0 p,3
s oː0,2
s oː0 t,3
s u0 n,3
s u0 r,3
s u0 j,3
s u0 t,3
s v e0 t,4
s t i0 l,4
s t o0 l,4
s t r e0 s s,6
s t r e0 s t,6
s t ɑ0 l,4
s eː0 p,3
s l o0 v,4
s n e0 ɡ,4
ɑ0 k,2
ɑ0 k t,3
ɑ0 t,2
ɑ0 t n,3
ɑ0 z,2
ɑ0 j,2
ɑ0 j t,3
ɑ0 n t,3
ɑ0 n ɡ l,4
ɑ0 n,2
ɑ0 ŋ,2
ɑ0 ʃ,2
ɑ0 tʃ,2
ɑ0 l p,3
ɑ0 p,2
ɑ0 r t,3
ɑ0 v t,3
ɑ0 d,2
ɑ0 s,2
eː0,1
eː0 n,2
eː0 r,2
k o0 l,3
k o0 j,3
k o0 ʃ,3
k o0 r,3
k o0 k,3
k ø0 z,3
k ø0 k,3
k ø0 l,3
k ø0 r,3
k ø0 r k,4
k ø0 tʃ,3
k ø0 n,3
k y0 n,3
k y0 tʃ,3
k y0 z,3
k y0 l,3
k y0 ŋ,3
k y0 r,3
k ɯ0 z,3
k ɯ0 l,3
k ɯ0 r k,4
k ɯ0 r,3
k ɯ0 r ɡ,4
k ɯ0 ʃ,3
k ɯ0,2
k ɯ0 t,3
k i0 m,3
k i0 r,3
k i0 r ɡ,4
k i0,2
k e0 p,3
k e0 ŋ,3
k e0 m,3
k e0 n,3
k e0 n tʃ,4
k e0 tʃ,3
k e0 l,3
k e0 z,3
k e0 r t,4
k e0 r,3
k e0 t,3
k e0 k,3
k ɑ0 n,3
k ɑ0 n t,4
k ɑ0 t,3
k ɑ0 l k,4
k ɑ0 l p,4
k ɑ0 l,3
k ɑ0 k,3
k ɑ0 r,3
k ɑ0 r t,4
k ɑ0 z,3
k ɑ0 p,3
k ɑ0 s,3
k ɑ0 d r,4
k ɑ0 tʃ,3
k ɑ0 j t,4
k ɑ0 ʃ,3
k oː0 z,3
k oː0 m,3
k oː0,2
k u0 l,3
k u0 l t,4
k u0 ʃ,3
k u0 t,3
k u0 r tʃ,4
k u0 r,3
k u0 r t,4
k u0 m,3
k u0 b,3
k u0 tʃ,3
k u0 n t,4
k u0,2
k yː0,2
k uː0 p,3
k uː0,2
k uː0 ʃ,3
k d ɯ0 n,4
k l u0 b,4
k l ɑ0 s s,5
k m ɡ e0,4
k m d e0 j t,6
k m d e0 j,5
k m d e0 j m,6
k m d e0 n,5
k t o0,3
k øː0 m p,4
k øː0 p,3
k r e0 s s,5
k r e0 s t,5
k r ɑ0 j,4
k ɡ ɑ0,3
k eː0,2
k j o0 p,4
t y0 r k,4
t y0 r,3
t y0 n,3
t y0 z,3
t y0 p,3
t y0 ʃ,3
