word,len
i0 lː uː0 m,4
i0 lː i0,3
i0 lː e0 j l,5
i0 lː oː0 b,4
i0 lː s ɪː0 b,5
i0 lː v a0 n t̪,6
i0 lː v a0 n t̪ aw,7
i0 l u0,3
i0 l u0 pː,4
i0 l u0 pː aw,5
i0 l ɡ v e0 r n,7
i0 l ɡ r u0 pː,6
i0 l ɡ r u0,5
i0 l ɡ aː0 j r,6
i0 l ɡ aː0 j n,6
i0 l ɡ aː0 b,5
i0 l ɡ o0 w l,6
i0 l ɡ d̪ iː0 d̪,6
i0 l ɡ a0 sː,5
i0 l ɡ uː0 ħ,5
i0 l ɡ iː0 d̪,5
i0 l p o0 s t̪,6
i0 l p o0 n t̪,6
i0 l p o0 r t̪,6
i0 l p aj j iː0 z,7
i0 l p aj j iː0 ts,7
i0 l p r iː0 m,6
i0 l p r e0 tsː,6
i0 l p r o0 n,6
i0 l p r o0 n t̪,7
i0 l p u0 n t̪,6
i0 l p j a0 n t̪,7
i0 l p j a0 n t̪ aw,8
i0 l p j a0 n,6
i0 l p a0 sː,5
i0 l p a0 l k,6
i0 l p a0 t̪ː,5
i0 l p iː0 z,5
i0 l b e0 l t̪,6
i0 l b e0 l,5
i0 l b e0 s,5
i0 l b e0 j t̪,6
i0 l b ɪː0 b,5
i0 l b ɪː0 s,5
i0 l b aː0 r,5
i0 l b z o0 nː,6
i0 l b l o0 ɡː,6
i0 l b l o0 ɡ,6
i0 l b l a0 t̪,6
i0 l b l a0,5
i0 l b uː0 t̪,5
i0 l b a0 n k,6
i0 l b a0 ʃː,5
i0 l b o0 r,5
i0 l b o0 r d̪,6
i0 l b s u0,5
i0 l b oː0 d̪,5
i0 l b aj j a0,6
i0 l b j uː0 t̪,6
i0 l k a0 z,5
i0 l k a0 ts,5
i0 l k a0 p,5
i0 l k a0 m p,6
i0 l k a0 n t̪,6
i0 l k a0 n t̪ aw,7
i0 l k t̪ ɪː0 b,6
i0 l k b iː0 r,6
i0 l k b a0 r,6
i0 l k b a0,5
i0 l k l ɪː0 m,6
i0 l k l ɪː0 b,6
i0 l k l a0 bː,6
i0 l k l a0 bː s,7
i0 l k l a0,5
i0 l k o0 lː,5
i0 l k o0 m,5
i0 l k o0 r s,6
i0 l k o0 r p,6
i0 l k o0 r,5
i0 l k o0 w tʃ,6
i0 l k e0 mː,5
i0 l k e0 j l,6
i0 l k aw z a0,6
i0 l k w ɪː0 t̪,6
i0 l k ew k b a0 r,8
i0 l k ew k b a0,7
i0 l m a0,4
i0 l m a0 ħ,5
i0 l m a0 r d̪,6
i0 l m o0 d̪,5
i0 l m o0 ħː,5
i0 l m u0 z ew,6
i0 l m e0 n t̪,6
i0 l m e0 n t̪ aw,7
i0 l ħ aj j a0,6
i0 l ħ aj j e0 b,7
i0 l ħ aj j e0 l,7
i0 l ħ aj j e0 m,7
i0 l ħ iː0 n,5
i0 l ħ s ɪː0 b,6
i0 l ħ a0 ʔ,5
i0 l ħ a0 b s,6
i0 l ħ a0 b,5
i0 l ħ a0 ʔː,5
i0 l ħ o0 b z,6
i0 l ħ ʔ u0,5
i0 l ħ dʒ ɪː0 dʒ,6
i0 l ħ b ɪː0 b,6
i0 l ħ l a0,5
i0 l ħ l a0 s,6
i0 l f a0 t̪ː,5
i0 l f o0 r s,6
i0 l f o0 n d̪,6
i0 l f l uː0 s,6
i0 l f l o0 k,6
i0 l f l o0 kː,6
i0 l f u0,4
i0 l f t̪ iː0 t̪,6
i0 l f e0 t̪,5
i0 l f e0 r ħ,6
i0 l f e0 r n,6
i0 l f r o0 t̪ː,6
i0 l f uː0 ʔ,5
i0 l f i0 l m,6
i0 l f n ɪː0 k,6
i0 l aː0,3
i0 l aː0 b,4
i0 l aː0 b s,5
i0 l aː0 j n,5
i0 l aː0 d̪ː,4
i0 l aː0 n,4
i0 l dʒ d̪ iː0 d̪,6
i0 l dʒ r aj j a0,7
i0 l dʒ iː0 d̪,5
i0 l dʒ e0 n b,6
i0 l dʒ n uː0 s,6
i0 l dʒ n uː0 b,6
i0 l dʒ n ɪː0 n,6
i0 l dʒ uː0 ħ,5
i0 l oː0 m,4
i0 l iː0 n,4
i0 l iː0 nː,4
i0 l i0,3
i0 l j uː0 n,5
i0 l j uː0 m,5
i0 l j ɪː0 m,5
i0 l j e0 t̪ː,5
i0 l j e0 d̪ː,5
i0 l ʔ a0 l b,6
i0 l ʔ a0 l,5
i0 l ʔ a0 l ow,6
i0 l ʔ a0,4
i0 l ʔ r iː0 b,6
i0 l ʔ r a0 r,6
i0 l ʔ aw w a0,6
i0 l ʔ aw w a0 r d̪,8
i0 l ʔ aw w a0 r,7
i0 l ʔ aw w ɪː0 t̪,7
i0 l ʔ t̪ iː0 l,6
i0 l ʔ ɪː0 ħ,5
i0 l ʔ uː0 ħ,5
i0 l n a0,4
i0 l n i0,4
i0 l v j a0 dʒː,6
i0 l v j a0 ɡː,6
i0 l v o0 t̪,5
i0 l s ɪː0 n,5
i0 l s n a0,5
i0 l t̪ a0 ʔ ow,6
i0 l t̪ a0,4
i0 l t̪ iː0 m,5
i0 l t̪ ɪː0 t̪,5
i0 l w a0 ʔ t̪,6
i0 l w i0 r t̪,6
i0 l w i0 tʃː,5
i0 l w i0 s ʔ,6
i0 l w ɪː0 d̪,5
i0 l e0 f,4
i0 l e0 k,4
i0 ts d̪ a0,4
i0 ts j e0 d̪,5
i0 ts o0 mː,4
i0 m b aː0 d̪,5
i0 m uː0 r,4
i0 m uː0 t̪,4
i0 m k ɪː0 n,5
i0 m p j a0 n t̪,7
i0 m p j a0 n t̪ aw,8
i0 m p j a0 n,6
i0 m p j ɪː0 ɡ,6
i0 m p a0 t̪ː,5
i0 m p e0 nː,5
i0 m i0 sː,4
i0 m ʔ a0 r,5
i0 m d̪ aw w a0,6
i0 m d̪ aw w a0 r d̪,8
i0 m d̪ aw w a0 r,7
i0 m ʃ i0,4
i0 m ʃ u0,4
i0 zː m ɪː0 n,5
i0 zː o0 mː,4
i0 zː w ɪː0 dʒ,5
i0 zː e0 j t̪,5
i0 zː ew dʒ iː0 n,6
i0 zː ew dʒ a0,5
