word,len
a0 ɖ u0,3
a0 ɖ i0,3
a0 ɖ i0 n,4
a0 ɖ a0,3
a0 ɖ a0 k,4
a0 ɖ a0 m,4
a0 j a0,3
a0 j a0 t̪,4
a0 j a0 s,4
a0 j a0 k,4
a0 j a0 n,4
a0 j a0 n s,5
a0 j a0 r,4
a0 j a0 m s,5
a0 j i0,3
a0 j i0 s,4
a0 j i0 n,4
a0 j i0 ʈ,4
a0 j i0 l,4
a0 j i0 l ŋ,5
a0 j i0 l ɖ,5
a0 j i0 m s,5
a0 j i0 m,4
a0 j i0 p,4
a0 j i0 ɖ,4
a0 j i0 k,4
a0 j e0 k,4
a0 j e0 n,4
a0 j oː0,3
a0 p i0,3
a0 p i0 t̪,4
a0 p a0,3
a0 p a0 n,4
a0 p a0 s,4
a0 p a0 t̪,4
a0 p eː0,3
a0 p r eː0 l,5
a0 p r e0 l,5
a0 p e0 n,4
a0 p e0,3
a0 n e0 k,4
a0 n e0 t̪,4
a0 n e0 l,4
a0 n t̪ a0 r,5
a0 n t̪ a0,4
a0 n t̪ a0 m,5
a0 n t̪ r a0,5
a0 n t̪ r a0 n,6
a0 n t̪ r iː0,5
a0 n t̪ r i0,5
a0 n t̪ r i0 n,6
a0 n t̪ i0,4
a0 n t̪ u0,4
a0 n t̪ iː0 n,5
a0 n i0,3
a0 n i0 t̪,4
a0 n i0 k,4
a0 n i0 n,4
a0 n i0 l,4
a0 n u0,3
a0 n u0 n,4
a0 n a0,3
a0 n a0 n,4
a0 n a0 t̪,4
a0 n a0 s,4
a0 n a0 s ʈ,5
a0 n a0 m,4
a0 n d̪ a0,4
a0 n d̪ a0 k,5
a0 n d̪ a0 m,5
a0 n d̪ r a0,5
a0 n d̪ r aː0,5
a0 n d̪ u0,4
a0 n d̪ i0,4
a0 n d̪ j aː0,5
a0 n d̪ eː0,4
a0 n d̪ e0 n,5
a0 n d̪ aː0,4
a0 n d̪ iː0 s,5
a0 n j a0,4
a0 n j aː0,4
a0 n eː0,3
a0 n h aː0,4
a0 n h u0,4
a0 n h i0,4
a0 n ɖ a0 n,5
a0 n ɖ a0,4
a0 n ɖ a0 k,5
a0 n ɖ eː0,4
a0 n ɖ i0 t̪,5
a0 n ɖ i0,4
a0 n ɖ u0,4
a0 n uː0,3
a0 d̪ a0,3
a0 d̪ a0 n,4
a0 d̪ a0 k,4
a0 d̪ a0 t̪,4
a0 d̪ a0 m,4
a0 d̪ i0,3
a0 d̪ i0 n,4
a0 d̪ j a0,4
a0 d̪ oː0,3
a0 r t̪ a0,4
a0 r t̪ r i0,5
a0 r t̪ r i0 n,6
a0 r t̪ aː0,4
a0 r d̪ a0,4
a0 r d̪ aː0,4
a0 r a0 m,4
a0 r a0 k,4
a0 r a0,3
a0 r a0 t̪,4
a0 r a0 s,4
a0 r a0 n,4
a0 r a0 l,4
a0 r a0 j,4
a0 r a0 ʃ,4
a0 r u0,3
a0 r u0 n,4
a0 r u0 t̪,4
a0 r ʋ a0,4
a0 r ʋ i0 n,5
a0 r ʋ i0 s,5
a0 r ʋ eː0,4
a0 r n a0,4
a0 r n a0 l,5
a0 r n a0 s,5
a0 r n a0 s ʈ,6
a0 r n a0 r,5
a0 r n a0 n,5
a0 r n aː0 ɖ,5
a0 r f a0 t̪,5
a0 r h a0 t̪,5
a0 t̪ i0 n,4
a0 t̪ i0,3
a0 t̪ p a0 t̪,5
a0 t̪ p æ0 n,5
a0 t̪ s a0 n,5
a0 t̪ s j a0,5
a0 t̪ a0,3
a0 t̪ a0 k,4
a0 t̪ a0 l,4
a0 t̪ u0 n,4
a0 t̪ u0,3
a0 t̪ u0 l,4
a0 t̪ l a0,4
a0 t̪ l eː0,4
a0 t̪ eː0,3
a0 t̪ k a0 m,5
a0 t̪ ʋ a0,4
a0 t̪ ʋ uː0,4
a0 t̪ ʋ iː0,4
a0 t̪ ʋ iː0 m,5
a0 t̪ ʋ eː0,4
a0 t̪ ʋ u0,4
a0 t̪ ʋ æ0 l,5
a0 t̪ ʋ i0,4
a0 l u0,3
a0 l u0 t̪,4
a0 l i0 n,4
a0 l i0,3
a0 l i0 t̪,4
a0 l p a0,4
a0 l uː0 t̪,4
a0 l uː0,3
a0 l a0,3
a0 l a0 t̪,4
a0 l a0 k,4
a0 l a0 l,4
a0 l a0 s,4
a0 l a0 n,4
a0 l ai0,3
a0 l k u0 r,5
a0 l ʋ aː0,4
a0 l ʋ i0 s,5
a0 lː aː0,3
a0 lː aː0 h,4
a0 lː a0 n,4
a0 lː a0 s,4
a0 lː a0,3
a0 lː a0 k,4
a0 g a0,3
a0 g a0 l,4
a0 g a0 k,4
a0 g a0 t̪,4
a0 g a0 n,4
a0 g a0 r,4
a0 g r a0,4
a0 g n i0,4
a0 g u0,3
a0 g u0 l,4
a0 g eː0,3
a0 ʋ i0,3
a0 ʋ i0 n,4
a0 ʋ u0 l,4
a0 ʋ u0 s,4
a0 ʋ u0,3
a0 ʋ u0 m,4
a0 ʋ u0 n,4
a0 ʋ u0 n ʈ,5
a0 ʋ u0 n ɖ,5
a0 ʋ u0 t̪,4
a0 ʋ u0 ʈ,4
a0 ʋ a0,3
a0 ʋ a0 t̪,4
a0 ʋ a0 k,4
a0 ʋ a0 n,4
a0 ʋ a0 s,4
a0 ʋ a0 r,4
a0 ʋ a0 l,4
a0 ʋ a0 ʃ j,5
a0 ʋ aː0,3
a0 ʋ aː0 n,4
a0 ʋ eː0,3
a0 m l a0,4
a0 m u0,3
a0 m u0 n,4
a0 m iː0 r,4
a0 m iː0,3
a0 m aː0,3
a0 m oː0,3
a0 m oː0 l,4
a0 ᵑɡ a0,3
a0 ᵑɡ a0 l,4
a0 ᵑɡ a0 k,4
a0 ⁿd̪ a0,3
a0 ⁿd̪ a0 k,4
a0 ⁿd̪ a0 n,4
a0 s aː0,3
a0 s aː0 n dʒ,5
a0 s aː0 d̪,4
a0 s t̪ u0,4
a0 s t̪ u0 n,5
a0 s t̪ uː0 n,5
a0 s t̪ i0,4
a0 s t̪ aː0,4
a0 s t̪ a0,4
a0 s t̪ r a0,5
a0 s t̪ r a0 n,6
a0 s u0,3
a0 s u0 n,4
a0 s u0 t̪,4
a0 s a0,3
a0 s a0 k,4
a0 s a0 l,4
a0 s a0 m,4
a0 s a0 n,4
a0 s a0 r,4
a0 s a0 ʋ,4
a0 s uː0,3
a0 s ʋ aː0,4
a0 s ʋ aː0 n,5
a0 s ʋ uː0,4
a0 s ʋ æ0 l,5
a0 s p a0 s,5
a0 s r aː0,4
a0 s r a0,4
a0 ʈ a0,3
a0 ʈ a0 n,4
a0 ʈ a0 t̪,4
a0 ʈ a0 k,4
a0 ʈ a0 r,4
a0 ʈ u0,3
a0 k ʃ a0,4
a0 k ʃ i0,4
a0 k ʃ i0 n,5
a0 k ʃ iː0 n,5
a0 k ʃ m iː0,5
a0 k ʃ m i0,5
a0 k ʃ m a0,5
a0 k ʃ m a0 n,6
a0 k ʃ j a0,5
a0 k ʃ aː0,4
a0 k a0 s,4
a0 k a0 r,4
a0 k a0 l,4
a0 k a0 l s,5
a0 k a0,3
a0 k a0 k,4
a0 k m a0 n,5
a0 k m aː0,4
a0 mː aː0,3
a0 mː aː0 h,4
a0 mː aː0 n,4
a0 ᵐb a0,3
a0 ᵐb u0,3
a0 ᵐb aː0,3
a0 ʃ ʋ a0,4
a0 h a0 t̪,4
a0 h a0,3
a0 h a0 s,4
a0 h a0 n,4
a0 h a0 k,4
a0 h a0 l,4
a0 h a0 m,4
a0 h u0,3
a0 h oː0,3
a0 h s aː0 b,5
a0 tʃː u0,3
a0 b u0,3
a0 b i0,3
a0 b d̪ a0,4
a0 b d̪ u0 l,5
a0 b j aː0,4
a0 b j a0,4
a0 b a0 r,4
a0 b a0 n,4
a0 b a0 t̪,4
a0 b a0,3
a0 b a0 l,4
a0 b e0 l,4
a0 t̪ː eː0,3
a0 t̪ː a0,3
a0 t̪ː a0 l,4
a0 t̪ː a0 t̪,4
a0 t̪ː a0 k,4
a0 ʋː eː0,3
a0 nː a0,3
a0 nː a0 n,4
a0 nː a0 t̪,4
a0 nː a0 m,4
a0 nː a0 k,4
a0 ⁿɖ a0,3
a0 ⁿɖ a0 k,4
a0 ⁿɖ aː0,3
a0 dʒ eː0,3
k u0 ɖ aː0,4
k u0 ɖ aː0 n,5
k u0 ɖ u0,4
k u0 ɖ a0,4
