word,len
a0 s i0,3
a0 s p ɔ0 ɲ,5
a0 s p ɛ0 c,5
a0 k ɛː0,3
a0 k iː0,3
a0 k iː0 x,4
a0 k iː0 m,4
a0 k ts iɛ0,4
a0 k ts ia0,4
a0 k ts iu0,4
a0 k aː0,3
a0 k aː0 m,4
a0 k uː0,3
a0 k ɛ0 j,4
a0 k ɔ0 m,4
a0 k ɔ0 v,4
a0 ɦ ɔ0 j,4
a0 ɦ ɔ0 v,4
a0 ɦ ɔ0 x,4
a0 ɦ ɔ0,3
a0 ɦ ɔ0 r,4
a0 ɦ ɔ0 m,4
a0 ɦ a0,3
a0 ɦ a0 c,4
a0 l b u0 m,5
a0 l f a0,4
a0 l ia0 s,4
a0 v ʃ a0 k,5
a0 r x iː0 v,5
a0 z d a0,4
a0 z d i0,4
a0 z d i0 c,5
a0 z d iː0,4
a0 z d u0,4
a0 z d ɛ0,4
a0 z d ɛ0 ts,5
a0 z d ia0,4
a0 z i0 k,4
a0 z i0,3
a0 z i0 l,4
a0 p r iɛ0 k,5
a0 p r iː0 l,5
a0 p r a0,4
a0 n j ɛ0 l,5
a0 u0,2
a0 u0 t,3
a0 t l a0 s,5
m ɔ0 ʒ n ɔ0,5
m ɔ0 ʒ n ɔ0 s c,7
m ɔ0 ʒ n ɔ0 m,6
m ɔ0 ʒ n ɛː0,5
m ɔ0 ʒ n aː0,5
m ɔ0 ʒ n iː0,5
m ɔ0 ʒ n iː0 x,6
m ɔ0 ʒ n iː0 m,6
m ɔ0 ʒ n ɛ0 j,6
m ɔ0 j ɛ0,4
m ɔ0 j ɛ0 j,5
m ɔ0 j ɛ0 k t,6
m ɔ0 j ɛ0 m,5
m ɔ0 j ɛ0 n,5
m ɔ0 j a0,4
m ɔ0 j a0 k,5
m ɔ0 j a0 n,5
m ɔ0 j i0 x,5
m ɔ0 j i0 m,5
m ɔ0 j i0,4
m ɔ0 j i0 c,5
m ɔ0 j ɔ0 m,5
m ɔ0 j ɔ0 v,5
m ɔ0 j u0,4
m ɔ0 j iː0 m,5
m ɔ0 j iː0,4
m ɔ0 ɦ l i0,5
m ɔ0 ɦ l ɔ0,5
m ɔ0 ɦ l a0,5
m ɔ0 ɦ ɔ0 l,5
m ɔ0 ɦ ɔ0,4
m ɔ0 ɦ ɔ0 m,5
m ɔ0 ɦ ɔ0 v,5
m ɔ0 ts i0,4
m ɔ0 ts i0 t,5
m ɔ0 ts n iː0 x,6
m ɔ0 ts n iː0,5
m ɔ0 b i0 c,5
m ɔ0 b i0 l,5
m ɔ0 b i0,4
m ɔ0 b i0 t,5
m ɔ0 r ɛ0 j,5
m ɔ0 r ɛ0,4
m ɔ0 r a0 z,5
m ɔ0 r a0,4
m ɔ0 r a0 d,5
m ɔ0 r a0 ɟ,5
m ɔ0 r i0,4
m ɔ0 r i0 l,5
m ɔ0 r i0 c,5
m ɔ0 r i0 s c,6
m ɔ0 r u0,4
m ɔ0 r ɔ0 m,5
m ɔ0 r ɔ0,4
m ɔ0 r ɔ0 k,5
m ɔ0 r ɔ0 v,5
m ɔ0 r ɔ0 r,5
m ɔ0 d l i0 c,6
m ɔ0 d l i0,5
m ɔ0 d l i0 l,6
m ɔ0 d l a0,5
m ɔ0 d l ia0,5
m ɔ0 d l aː0 ɦ,6
m ɔ0 d ɛ0 l,5
m ɔ0 d ɛ0,4
m ɔ0 d ɛ0 v,5
m ɔ0 d ɛ0 j,5
m ɔ0 d ɛ0 n,5
m ɔ0 d r ɛ0 j,6
m ɔ0 d r iː0,5
m ɔ0 d r ɛː0,5
m ɔ0 d r aː0,5
m ɔ0 d u0,4
m ɔ0 d u0 k t,6
m ɔ0 d u0 l,5
m ɔ0 n t a0 k t,7
m ɔ0 n t aː0 ʒ,6
m ɔ0 n t ɛ0,5
m ɔ0 n t ɛ0 k s,7
m ɔ0 n t ɛ0 k s t,8
m ɔ0 n t ɔ0,5
m ɔ0 n t r a0 k t,8
m ɔ0 n t r a0 s t,8
m ɔ0 z g u0,5
m ɔ0 z ɔ0 r,5
m ɔ0 z ɔ0 g,5
m ɔ0 t n ɔ0 s c,7
m ɔ0 t n ɛː0,5
m ɔ0 t ɔ0,4
m ɔ0 t ɔ0 r,5
m ɔ0 t ɔ0 l,5
m ɔ0 t ɔ0 k,5
m ɔ0 t ɔ0 m,5
m ɔ0 t a0,4
m ɔ0 t i0,4
m ɔ0 t i0 ʒ,5
m ɔ0 t i0 k,5
m ɔ0 t iː0 v,5
m ɔ0 t u0,4
m ɔ0 m ɛ0,4
m ɔ0 m ɛ0 r,5
m ɔ0 m ɛ0 n t,6
m ɔ0 s t a0 l,6
m ɔ0 s t a0 c,6
m ɔ0 s t a0,5
m ɔ0 s t a0 v,6
m ɔ0 s t ɛ0,5
m ɔ0 s t ɛ0 ʎ,6
m ɔ0 s t ɔ0 j,6
m ɔ0 s t ɔ0 l,6
m ɔ0 s t ɔ0,5
m ɔ0 s t ɔ0 p,6
m ɔ0 s t u0 p,6
m ɔ0 s t iː0,5
m ɔ0 s t iː0 m,6
m ɔ0 s t r ɔ0 v,7
m ɔ0 s t r ɔ0 k,7
m ɔ0 s t r ɛː0,6
m ɔ0 s t r ɛː0 t,7
m ɔ0 s t r iː0,6
m ɔ0 s t ia0,5
m ɔ0 s t i0 c,6
m ɔ0 s t i0,5
m ɔ0 s t aː0 v,6
m a0 l i0,4
m a0 l i0 c,5
m a0 l a0,4
m a0 l a0 n,5
m a0 l ɔ0,4
m a0 l ɔ0 m,5
m a0 l ɔ0 s c,6
m a0 l ɔ0 v,5
m a0 l ɛː0,4
m a0 l iː0,4
m a0 l iː0 x,5
m a0 l iː0 m,5
m a0 l iː0 v,5
m a0 l iː0 k,5
m a0 l aː0,4
m a0 l aː0 t,5
m a0 l aː0 ts,5
m a0 l uː0,4
m a0 l ɛ0 j,5
m a0 l ɛ0 n t,6
m a0 l ɛ0,4
m a0 j uː0,4
m a0 j t r a0,6
m a0 j t r a0 ts,7
m a0 j t ɛ0,5
m a0 j s k ʊɔ0 r,7
m a0 j s k ɛ0 j,7
m a0 j s t r ɔ0 v,8
m a0 j s t r a0,7
m a0 j s t r a0 ts,8
m a0 j s t r i0 c,8
m a0 j s t r i0 l,8
m a0 j s t r i0,7
m a0 j s t ɛ0 r,7
m a0 r ts a0,5
m a0 r ts i0,5
