word,len
k ə0 s a0 j,5
k ə0 ʃ t u0,5
k ə0 ʃ t j e0,6
k ə0 ʃ t j e0 t,7
k ə0 ʃ t j e0 n,7
k ə0 ʃ t j e0 s,7
k ə0 ʃ t j a0,6
k ə0 ʃ t e0 t,6
k ə0 ʃ t e0,5
k ə0 ʃ t ɾ i0 m,7
k ə0 ʃ t ɾ ua0 ɾ,7
k ə0 ʃ t ɾ ua0,6
k ə0 ʃ t ua0 ɾ,6
k ə0 ʃ t ə0,5
k ə0 ʃ i0 ɫ,5
k ə0 t i0 j,5
k ə0 t i0 m,5
k ə0 t u0,4
k ə0 t a0,4
k ə0 t e0,4
k ə0 t e0 j,5
k ə0 n ɡ ə0,5
k ə0 n ɡ ə0 s,6
k ə0 n ɡ ə0 t,6
k ə0 n ɡ ə0 n,6
k ə0 n ɡ ə0 ʃ,6
k ə0 n ɡ a0,5
k ə0 n ɡ u0,5
k ə0 n ɡ u0 t,6
k ə0 n ɡ u0 n,6
k ə0 n ɡ u0 l,6
k ə0 n ɡ e0,5
k ə0 n d ə0,5
k ə0 n d ə0 r,6
k ə0 n d ə0 n,6
k ə0 n d ə0 s,6
k ə0 n d ə0 t,6
k ə0 n d ə0 ɾ,6
k ə0 n d ɾ o0 n,7
k ə0 n d ɾ o0 ɾ,7
k ə0 n d ɾ o0 j,7
k ə0 n d ɾ i0 m,7
k ə0 n d ɾ ua0 ɾ,7
k ə0 n d ɾ ua0 n,7
k ə0 n d a0,5
k ə0 n d ua0 ɾ,6
k ə0 n d e0,5
k ə0 n d e0 j,6
k ə0 n d e0 t,6
k ə0 n d o0 n,6
k ə0 n d r a0,6
k ə0 n d r a0 t,7
k ə0 n d r ə0 n,7
k ə0 n d ʃ m e0,7
k ə0 n d ʃ ə0 m,7
k ə0 n d i0 m,6
k ə0 n d i0,5
k ə0 n d i0 n,6
k ə0 n d j e0,6
k ə0 ɾ k e0 t,6
k ə0 ɾ k o0 n,6
k ə0 ɾ k o0 j,6
k ə0 ɾ k o0,5
k ə0 ɾ k ua0 ɾ,6
k ə0 ɾ k ua0 n,6
k ə0 ɾ k ua0,5
k ə0 ɾ k a0 c,6
k ə0 ɾ k θ ye0 ɾ,7
k ə0 ɾ k θ ye0 s,7
k ə0 ɾ k θ i0 m,7
k ə0 ɾ k i0 m,6
k ə0 ɾ k ɾ a0 h,7
k ə0 ɾ k ɾ ye0 ɾ,7
k ə0 m b ə0,5
k ə0 m b ə0 t,6
k ə0 m b ə0 l,6
k ə0 m b ə0 s,6
k ə0 m b ə0 n,6
k ə0 m b ye0 ɾ,6
k ə0 m b l e0 ð,7
k ə0 m b l a0,6
k ə0 m b i0,5
k ə0 m b i0 m,6
k ə0 m b i0 ɲ,6
k ə0 m b u0 ɫ,6
k ə0 d o0,4
k o0 h ə0,4
k o0 h ə0 s,5
k o0 h ə0 n,5
k o0 h ə0 t,5
k o0 h ə0 ʃ,5
k o0 h e0,4
k o0 h e0 n,5
k o0 h e0 t,5
k o0 h e0 s,5
k o0 h e0 j,5
k o0 h a0,4
k o0 h o0 ɾ,5
k o0 h o0 n,5
k o0 r i0 k,5
k o0 r i0,4
k o0 m b i0 t,6
k o0 m b i0,5
k o0 m b i0 n,6
k o0 m b e0 t,6
k o0 m b e0,5
k o0 m b a0,5
k o0 m p l e0 k s,8
k o0 m p l e0 k s t,9
k o0 m p l e0 t,7
k o0 m e0 n t,6
k o0 m e0 n,5
k o0 m e0,4
k o0 k ə0,4
k o0 k ə0 s,5
k o0 k ə0 n,5
k o0 k ə0 t,5
k o0 k a0,4
k o0 k a0 t,5
k o0 k a0 l,5
k o0 k a0 ʃ,5
k o0 k e0,4
k o0 k e0 s,5
k o0 k e0 n,5
k o0 k r a0,5
k o0 n t e0,5
k o0 n t e0 k s,7
k o0 n t e0 k s t,8
k o0 n t a0 k t,7
k o0 n t ɾ o0 ɫ,7
k o0 n t ɾ a0,6
k o0 n t ɾ a0 t,7
k o0 n t ɾ a0 s t,8
k o0 n t i0 n,6
k o0 n t i0,5
k o0 n t i0 t,6
k o0 n i0 n,5
k o0 n i0,4
k o0 n i0 t,5
k o0 n f l i0 k t,8
k o0 n ɡ ɾ e0 s,7
k o0 n ts e0 p t,7
k o0 n ts e0 ɾ t,7
k o0 n k ɾ e0 t,7
k o0 n k u0 ɾ s,7
k o0 n s u0 ɫ,6
k o0 p j e0,5
k o0 p j a0,5
k o0 p ʃ t i0 n,7
k o0 p ʃ t i0 t,7
k o0 p ʃ t i0,6
k o0 p ʃ t e0,6
k o0 p ʃ t e0 t,7
k o0 d i0,4
k o0 d i0 n,5
k o0 d i0 t,5
k o0 d ɾ a0,5
k o0 d ɾ a0 t,6
k o0 d ɾ a0 n,6
k o0 d ɾ ə0 s,6
k o0 d ə0 ɾ,5
k o0 d ə0 s,5
k o0 ɾ i0,4
k o0 ɾ i0 t,5
k o0 ɾ i0 z,5
k o0 ɾ e0,4
k o0 t ə0,4
k o0 t ə0 s,5
k o0 t ə0 n,5
k o0 t ə0 m,5
k o0 t ə0 ɾ,5
k o0 t ə0 t,5
k o0 t a0,4
k o0 t a0 l,5
k o0 t a0 t,5
k o0 ts k a0 t,6
k o0 s t i0 n,6
k o0 s t i0,5
k o0 s t ua0 ɾ,6
k o0 s t e0,5
k o0 s t e0 t,6
k o0 s t o0,5
k o0 s t o0 n,6
k o0 s t u0 m,6
k o0 s t a0,5
k o0 s t ə0 s,6
k o0 l e0,4
k o0 l e0 t,5
k o0 l e0 ɟ,5
k u0 n d i0 t,6
k u0 n d i0,5
k u0 n d i0 n,6
k u0 n d i0 m,6
k u0 n d ə0 ɾ,6
k u0 n d ə0 ɾ t,7
k u0 n d ə0 n,6
k u0 n d ə0,5
k u0 n d ə0 s,6
k u0 n d u0 ɾ,6
k u0 n d ɾ e0 j t,8
k u0 n d ɾ a0,6
k u0 n d ʃ m e0,7
k u0 n d ʃ ə0 m,7
k u0 n d e0 ɾ,6
k u0 n d e0 t,6
k u0 n d e0 n t,7
k u0 n d e0 n,6
k u0 n d e0 j,6
k u0 n d ua0 ɾ,6
k u0 n d ua0,5
k u0 n d m i0,6
k u0 n d ue0 s,6
k u0 n d o0 n,6
k u0 ɾ s e0,5
k u0 ɾ s i0 n,6
k u0 ɾ s i0,5
k u0 ɾ s ə0,5
k u0 ɾ s a0,5
k u0 ɾ s ye0 ɾ,6
k u0 ɾ t ə0 ɾ,6
k u0 ɾ t ə0,5
k u0 ɾ t ɾ a0,6
k u0 ɾ t ɾ a0 t,7
k u0 ɾ t i0 t,6
k u0 ɾ t i0,5
k u0 ɾ t a0,5
k u0 ɾ t e0 ɾ,6
k u0 ɾ t ua0 ɾ,6
k u0 ɾ a0,4
k u0 ɾ a0 n,5
k u0 r ə0,4
k u0 r i0,4
k u0 r i0 t,5
k u0 r i0 n,5
k u0 r i0 z,5
k u0 r e0,4
k u0 r e0 n,5
k u0 ʃ t e0 t,6
k u0 ʃ t e0,5
k u0 ʃ t ə0,5
k u0 ʃ t ua0 ɾ,6
k u0 ʃ t ua0 n,6
k u0 ʃ t ua0,5
k u0 ʃ t ɾ i0,6
k u0 ʃ t ɾ ua0 ɾ,7
k u0 ʃ t ɾ o0 n,7
k u0 ʃ t ɾ ie0,6
k u0 ʃ t a0,5
k u0 ʃ t a0 ɾ,6
k u0 ʃ t i0 t,6
k u0 ʃ t i0,5
k u0 ʃ t o0 n,6
k u0 ʃ d o0,5
k u0 c e0,4
k u0 d o0,4
k u0 j d e0 s,6
k u0 j t i0 m,6
k u0 j t o0 n,6
k u0 j t o0 j,6
k u0 j t ua0 ɾ,6
k u0 p t i0 m,6
k u0 p t ua0 ɾ,6
k u0 p t o0 n,6
k u0 p t o0 j,6
k u0 p t o0 ʃ,6
k u0 p ə0 n,5
k u0 p ə0 s,5
k u0 p ə0,4
k u0 p a0 t,5
k u0 p a0,4
k u0 ɫ a0,4
k u0 ɫ a0 t,5
k u0 ɫ ə0 s,5
k u0 ɫ ə0,4
k u0 ɫ ə0 n,5
k u0 ɫ ua0 ɾ,5
k u0 f i0,4
k u0 f i0 j,5
k u0 v e0 n d,6
k u0 v e0,4
k u0 l m e0 t,6
k u0 l m e0,5
k u0 l m i0 n,6
k u0 l m i0,5
k u0 l m i0 t,6
k u0 l m ua0 n,6
k u0 l m ua0 ɾ,6
k u0 l m ue0 s,6
k u0 l m o0 n,6
k u0 l t i0,5
k u0 l t i0 t,6
k u0 l t i0 n,6
k u0 l t ə0,5
k u0 l t a0,5
k u0 t i0,4
k i0 ʃ i0 n,5
k i0 ʃ i0 m,5
k i0 ʃ i0 t,5
k i0 ʃ i0,4
k i0 ʃ a0,4
k i0 ʃ a0 t,5
k i0 ʃ ə0 s,5
k i0 ʃ ə0 n,5
k i0 ʃ ə0,4
k i0 ʃ e0,4
k i0 ʃ e0 s,5
k i0 ʃ e0 n,5
k i0 ʃ e0 t,5
k i0 ʃ t i0 t,6
k i0 ʃ t i0 n,6
k i0 ʃ t i0,5
k i0 ʃ t ə0,5
k i0 ʃ t e0,5
k i0 ʃ t a0 ɾ,6
k i0 ʃ t a0 t,6
k i0 m i0 n,5
k i0 m i0 t,5
k i0 m i0,4
k i0 m i0 k,5
k i0 m i0 s t,6
k i0 n e0 z,5
k i0 n e0,4
k i0 n i0 n,5
k i0 n i0,4
k i0 n s e0,5
k e0 m i0,4
k e0 m i0 ɾ,5
k e0 m a0,4
k e0 m a0 t,5
k e0 t ə0,4
k e0 t ə0 n,5
k e0 t ə0 ɾ,5
k e0 t ə0 s,5
k e0 t ə0 ʃ,5
k e0 t ə0 t,5
k e0 t e0 t,5
k e0 t e0,4
k e0 t e0 n,5
k e0 t e0 m,5
k e0 t e0 ɾ,5
k e0 t e0 s,5
k e0 t e0 j,5
k e0 t o0 ɾ,5
k e0 t o0 n,5
k e0 t o0,4
k e0 t o0 j,5
k e0 t o0 ʃ,5
k e0 t i0 n,5
k e0 t i0 t,5
k e0 t i0,4
k e0 t i0 j,5
k e0 t i0 m,5
k e0 t u0 ɾ,5
k e0 t u0,4
k e0 t a0,4
k e0 t a0 ɾ,5
k e0 t a0 l,5
k e0 t a0 s,5
k e0 t a0 ʃ,5
k e0 t a0 t,5
k e0 n i0,4
k e0 n i0 n,5
k e0 n i0 t,5
k e0 n i0 k,5
k e0 n ə0,4
k e0 n ə0 n,5
k e0 n ə0 s,5
k e0 n ə0 t,5
k e0 n ts o0 ɾ,6
k e0 n ts ə0 s,6
k e0 n ts ə0,5
k e0 n ts ə0 n,6
k e0 n ts a0,5
k e0 n ts a0 t,6
k e0 n a0,4
k e0 n a0 ɾ,5
k e0 n a0 t,5
k e0 n a0 l,5
k e0 n ɡ o0 n,6
k e0 n ɡ ua0 ɾ,6
k e0 n ɡ e0,5
k e0 n ɡ a0,5
k e0 n e0,4
k e0 n e0 t,5
k e0 c e0,4
k e0 c e0 n,5
k e0 c e0 s,5
k e0 c e0 ɾ,5
k e0 c j a0,5
k e0 c j e0 n,6
k e0 c j e0,5
k e0 c j e0 s,6
k e0 s a0,4
k e0 s a0 j,5
k e0 s a0 ʒ,5
k e0 s a0 t,5
k e0 s a0 ɾ,5
k e0 ʃ t e0,5
k e0 ʃ t ə0,5
k e0 ʃ t ə0 ɾ,6
k e0 ʃ t ə0 s,6
k e0 ʃ t ə0 n,6
k e0 ʃ t u0,5
k e0 ʃ t u0 ɾ,6
k e0 ʃ t a0,5
k e0 ʃ t a0 ɾ,6
k e0 ʃ t ɾ a0,6
k e0 ʃ t ɾ a0 ɾ,7
k e0 ʃ t ɾ a0 t,7
k e0 ʃ t ɾ a0 ʃ,7
k e0 ʃ t ɾ a0 l,7
k e0 ʃ t ɾ i0 n,7
k e0 ʃ t ɾ i0,6
k e0 ʃ t ɾ i0 t,7
k e0 ʃ t j e0,6
k e0 ʃ t j e0 n,7
k e0 ʃ t j e0 t,7
k e0 ʃ t ua0 ɾ,6
k e0 ʃ t i0,5
k e0 ɾ k e0 t,6
k e0 ɾ k o0 n,6
k e0 ɾ k ua0 ɾ,6
k ɾ ye0 s i0 ʃ t,7
k ɾ ye0 s i0 n,6
k ɾ ye0 s o0 ɾ,6
k ɾ ye0 s ua0 ɾ,6
k ɾ ye0 s ue0 s,6
k ɾ ye0 t a0 ɾ,6
k ɾ ye0 ɾ a0,5
k ɾ ye0 ɾ j e0 n,7
k ɾ ye0 ɾ j e0 s,7
k ɾ ye0 ɾ j e0,6
k ɾ ye0 ɾ j a0,6
k ɾ ye0 n t e0,6
k ɾ ye0 n i0 n,6
k ɾ ye0 j n ə0,6
k ɾ ye0 j ə0,5
k ɾ i0 j ua0 ɾ,6
k ɾ i0 j ua0,5
k ɾ i0 j ua0 n,6
k ɾ i0 j o0 n,6
k ɾ i0 j o0 j,6
k ɾ i0 j ue0 s,6
k ɾ i0 j ə0,5
k ɾ i0 j ə0 n,6
k ɾ i0 j ə0 s,6
k ɾ i0 j i0 m,6
k ɾ i0 ʃ t i0 t,7
k ɾ i0 ʃ t i0 n,7
k ɾ i0 ʃ t i0,6
k ɾ i0 ʃ t ə0,6
k ɾ i0 ʃ t e0,6
k ɾ i0 ʃ t a0 ɾ,7
k ɾ i0 ʃ t a0 t,7
k ɾ i0 ʃ u0 ɫ,6
k ɾ i0 ʃ u0 j t,7
k ɾ i0 ʃ u0 j,6
k ɾ i0 ʃ u0 ɾ,6
k ɾ i0 ʃ e0,5
k ɾ i0 ʃ e0 s,6
k ɾ i0 ʃ e0 n,6
k ɾ i0 ʃ e0 t,6
k ɾ i0 ʃ j e0 n,7
k ɾ i0 m e0,5
k ɾ i0 m e0 t,6
k ɾ i0 m e0 s,6
k ɾ i0 m t a0 ɾ,7
k ɾ i0 m t a0,6
k ɾ i0 m i0 n,6
k ɾ i0 m i0 t,6
k ɾ i0 m i0,5
k ɾ i0 m i0 k,6
k ɾ i0 m i0 s t,7
k ɾ i0 m a0 m,6
k ɾ i0 m a0,5
k ɾ i0 m a0 t,6
k ɾ i0 m a0 ʒ,6
k ɾ i0 m a0 ɾ,6
k ɾ i0 m ə0 t,6
k ɾ i0 m ə0,5
k ɾ i0 m ə0 s,6
k ɾ i0 m ə0 ɾ,6
k ɾ i0 m ə0 n,6
k ɾ i0 m ə0 ʃ,6
k ɾ i0 m ts a0,6
k ɾ i0 m b o0 l,7
k ɾ i0 m b j e0,7
k ɾ i0 m b j e0 t,8
k ɾ i0 m b j e0 s,8
k ɾ i0 m b j e0 n,8
k ɾ i0 m b j a0,7
k ɾ i0 m b a0 s,7
k ɾ i0 m b i0 t,7
k ɾ i0 m b ʃ m e0,8
k ɾ i0 t u0 ɾ,6
k ɾ i0 t u0 ɫ,6
k ɾ i0 t u0 j,6
k ɾ i0 t u0 j t,7
k ɾ i0 t a0,5
k ɾ i0 t a0 l,6
k ɾ i0 t a0 ɾ,6
k ɾ i0 t ə0,5
k ɾ i0 t ə0 n,6
k ɾ i0 t ə0 t,6
k ɾ i0 t ə0 s,6
k ɾ i0 t ə0 ʃ,6
k ɾ i0 t ə0 m,6
k ɾ i0 t ə0 ɾ,6
k ɾ i0 t e0 t,6
k ɾ i0 t e0,5
k ɾ i0 t e0 ʃ,6
k ɾ i0 t e0 n,6
k ɾ i0 t e0 j,6
k ɾ i0 t e0 s,6
k ɾ i0 t e0 ɾ,6
k ɾ i0 t j e0,6
k ɾ i0 t j e0 n,7
k ɾ i0 t j e0 s,7
k ɾ i0 t j a0,6
k ɾ i0 t i0,5
k ɾ i0 t i0 k,6
k ɾ i0 t i0 m,6
k ɾ i0 t i0 t,6
k ɾ i0 t m i0 n,7
k ɾ i0 t ʃ m e0,7
k ɾ i0 z a0,5
k ɾ i0 z a0 j n,7
k ɾ i0 z ə0 s,6
k ɾ i0 z ə0,5
k ɾ i0 z ə0 n,6
k ɾ i0 p ə0 ɾ,6
k ɾ i0 p ə0 ɾ m,7
k ɾ i0 p ə0,5
k ɾ i0 p a0,5
k ɾ i0 p a0 ɾ,6
k ɾ i0 ɾ ə0,5
k ɾ i0 ɾ ə0 n,6
k ɾ i0 ɾ ə0 t,6
k ɾ i0 ɾ ə0 s,6
k ɾ i0 ɾ j e0,6
k ɾ i0 ɾ j e0 n,7
k ɾ i0 ɾ j e0 s,7
k ɾ i0 ɾ j a0,6
k ɾ i0 ɾ u0 s,6
k ɾ i0 ɾ u0 ɾ,6
k ɾ i0 s t e0 m,7
k ɾ i0 s t e0,6
k ɾ i0 s t e0 ɾ,7
k ɾ i0 s t ə0 n,7
k ɾ i0 s t ə0,6
k ɾ i0 s t ə0 s,7
k ɾ i0 s t a0,6
k ɾ i0 s t a0 t,7
k ɾ i0 s t a0 l,7
k ɾ i0 s n i0 k,7
k ɾ i0 s n i0 n,7
k ɾ i0 s i0,5
k ɾ i0 s i0 t,6
k ɾ i0 s i0 n,6
k ɾ e0 u0,4
k ɾ e0 u0 t,5
k ɾ e0 ɾ ə0,5
k ɾ e0 ɾ ə0 z,6
k ɾ e0 ɾ ə0 t,6
k ɾ e0 ɾ ə0 s,6
k ɾ e0 ɾ ə0 n,6
k ɾ e0 ɾ a0,5
k ɾ e0 ɾ a0 t,6
k ɾ e0 ɾ a0 ʃ,6
k ɾ e0 ɾ i0,5
k ɾ e0 ɾ i0 t,6
k ɾ e0 ɾ i0 n,6
k ɾ e0 ɾ i0 m,6
k ɾ e0 ɾ i0 ʃ t,7
k ɾ e0 ɾ i0 ʃ,6
k ɾ e0 ɾ i0 k,6
k ɾ e0 ɾ j e0 n,7
k ɾ e0 ɾ j e0,6
k ɾ e0 n d a0,6
k ɾ e0 n d a0 s,7
k ɾ e0 n d i0 t,7
k ɾ e0 n d i0 n,7
k ɾ e0 n d i0,6
k ɾ e0 n d i0 m,7
k ɾ e0 n d e0,6
k ɾ e0 n d e0 t,7
k ɾ e0 n d e0 n,7
k ɾ e0 n d e0 j,7
k ɾ e0 n d e0 ɾ,7
k ɾ e0 n d e0 ʃ,7
k ɾ e0 n d ə0 ɾ,7
k ɾ e0 n d ə0 s,7
k ɾ e0 n d ə0 n,7
k ɾ e0 n d j e0,7
k ɾ e0 n d j e0 n,8
k ɾ e0 n d j e0 s,8
k ɾ e0 n d j a0,7
k ɾ e0 n d ʃ m e0,8
k ɾ e0 n d ʃ ə0 m,8
k ɾ e0 n d ɾ a0,7
k ɾ e0 n d ɾ a0 t,8
k ɾ e0 n d ɾ o0 ɾ,8
k ɾ e0 n d ɾ ə0 s,8
k ɾ e0 n d ɾ ə0 n,8
k ɾ e0 n d ɾ e0,7
k ɾ e0 n d o0 s,7
k ɾ e0 n d o0 j,7
k ɾ e0 n d o0 n,7
k ɾ e0 n d o0,6
k ɾ e0 n d o0 ɾ,7
k ɾ e0 n d o0 ʃ,7
k ɾ e0 n d ua0 ɾ,7
k ɾ e0 n d ua0 n,7
k ɾ e0 n d u0 ɾ,7
k ɾ e0 n a0,5
k ɾ e0 n a0 ɾ,6
k ɾ e0 n a0 t,6
k ɾ e0 n a0 l,6
k ɾ e0 n i0,5
k ɾ e0 n i0 n,6
k ɾ e0 n i0 t,6
k ɾ e0 n i0 k,6
k ɾ e0 n ə0,5
k ɾ e0 n ə0 n,6
k ɾ e0 n ə0 s,6
k ɾ e0 n ə0 t,6
k ɾ e0 n e0,5
k ɾ e0 n e0 t,6
k ɾ e0 d i0 s,6
k ɾ e0 d i0,5
k ɾ e0 t ə0,5
k ɾ e0 t ə0 n,6
k ɾ e0 t ə0 ɾ,6
k ɾ e0 t ə0 s,6
k ɾ e0 t ə0 ʃ,6
k ɾ e0 t ə0 t,6
k ɾ e0 t i0 n,6
k ɾ e0 t i0 t,6
k ɾ e0 t i0,5
k ɾ e0 t i0 j,6
k ɾ e0 t i0 m,6
k ɾ e0 t a0,5
k ɾ e0 t a0 ɾ,6
k ɾ e0 t a0 l,6
k ɾ e0 t a0 s,6
k ɾ e0 t a0 ʃ,6
k ɾ e0 t a0 t,6
k ɾ e0 t e0 t,6
k ɾ e0 t e0,5
k ɾ e0 t e0 n,6
k ɾ e0 t e0 m,6
k ɾ e0 t e0 ɾ,6
k ɾ e0 t e0 s,6
k ɾ e0 t e0 j,6
k ɾ e0 ʃ j e0,6
k ɾ e0 ʃ j e0 t,7
k ɾ e0 ʃ j e0 n,7
k ɾ e0 ʃ j e0 s,7
k ɾ e0 ʃ j a0,6
k ɾ e0 ʃ t e0,6
k ɾ e0 ʃ t ə0,6
k ɾ e0 ʃ t ə0 ɾ,7
k ɾ e0 ʃ t ə0 s,7
k ɾ e0 ʃ t ə0 n,7
k ɾ e0 ʃ t u0,6
k ɾ e0 ʃ t u0 ɾ,7
k ɾ e0 ʃ t a0,6
k ɾ e0 ʃ t a0 ɾ,7
k ɾ e0 ʃ t ɾ a0,7
k ɾ e0 ʃ t ɾ a0 ɾ,8
k ɾ e0 ʃ t ɾ a0 t,8
k ɾ e0 ʃ t ɾ a0 ʃ,8
k ɾ e0 ʃ t ɾ a0 l,8
k ɾ e0 ʃ t ɾ i0 n,8
k ɾ e0 ʃ t ɾ i0,7
k ɾ e0 ʃ t ɾ i0 t,8
k ɾ e0 ʃ t j e0,7
k ɾ e0 ʃ t j e0 n,8
k ɾ e0 ʃ t j e0 t,8
k ɾ e0 ʃ t ua0 ɾ,7
k ɾ e0 ʃ t i0,6
k ɾ e0 ʃ n i0 k,7
k ɾ a0 h a0 s,6
k ɾ a0 h ə0 t,6
k ɾ a0 h ə0,5
k ɾ a0 h u0,5
k ɾ a0 h u0 n,6
k ɾ a0 h u0 t,6
k ɾ a0 h u0 ɾ,6
k ɾ y0 h e0 t,6
k ɾ y0 h e0 n,6
k ɾ y0 c i0 t,6
k ɾ y0 c i0,5
k ɾ y0 c i0 n d,7
k ɾ y0 c i0 n,6
k ɾ o0 i0,4
k ɾ o0 ɲ a0,5
k ɾ o0 ɲ a0 t,6
k ɾ o0 a0 t,5
k ɾ o0 m ə0,5
k ɾ o0 m ə0 n,6
k ɾ o0 m ə0 s,6
k ɾ o0 m ə0 t,6
k ɾ o0 m a0 k,6
k ɾ o0 m a0 n,6
k ɾ o0 m a0,5
k ɾ o0 m a0 t,6
k ɾ o0 m e0 n t,7
k ɾ o0 m e0 n,6
k ɾ o0 m e0,5
k ɾ o0 m i0 t,6
k a0 t ə0 ɾ,5
k a0 t ə0 ɾ t,6
k a0 t ə0,4
k a0 t ə0 n,5
k a0 t ə0 s,5
k a0 t ə0 m,5
k a0 t e0,4
k a0 t e0 ɾ,5
k a0 t e0 t,5
k a0 t ɾ a0 t,6
k a0 t ɾ a0,5
k a0 t ɾ o0 ɾ,6
k a0 t ɾ ə0 s,6
k a0 t i0 j,5
k a0 t i0,4
k a0 t i0 t,5
k a0 t i0 n,5
k a0 t i0 m,5
k a0 t u0 ɾ,5
k a0 t u0 s,5
k a0 t u0 n d,6
k a0 t u0 t,5
k a0 n e0,4
k a0 n e0 t,5
k a0 n e0 n,5
k a0 n a0,4
k a0 n a0 ɾ,5
k a0 n a0 ʃ,5
k a0 n a0 l,5
k a0 n a0 t,5
k a0 n ə0,4
k a0 n ə0 n,5
k a0 n ə0 t,5
k a0 n ə0 s,5
k a0 n t e0,5
k a0 n t i0 k,6
k a0 n t i0,5
k a0 n t o0 n,6
k a0 l ua0 ɾ,5
k a0 l ua0 n,5
k a0 l ua0,4
k a0 l o0 n,5
k a0 l o0 ɾ,5
k a0 l o0 j,5
k a0 l o0 ʃ,5
k a0 l a0,4
k a0 l a0 s,5
k a0 l t ə0 ɾ,6
k a0 l t ə0 ɾ t,7
k a0 l t ə0,5
k a0 l t a0,5
k a0 l t e0,5
k a0 l i0 t,5
k a0 l i0,4
k a0 l i0 n,5
k a0 l i0 m,5
k a0 l ə0,4
k a0 l ə0 n,5
k a0 l ə0 t,5
k a0 l ə0 s,5
k a0 f ʃ ə0 t,6
k a0 f ʃ ə0,5
k a0 f ʃ ə0 ʃ,6
k a0 f ʃ i0 n,6
k a0 f ʃ i0 t,6
k a0 f ʃ i0,5
k a0 f ʃ e0,5
k a0 f e0,4
k a0 f e0 ɾ,5
k a0 p u0 ɾ,5
k a0 p i0 n,5
k a0 p i0,4
k a0 p i0 m,5
k a0 p ə0,4
k a0 p ə0 n,5
k a0 p ə0 s,5
k a0 p ə0 ʃ,5
k a0 p j e0 n,6
k a0 p j e0 s,6
k a0 p j a0,5
k a0 p e0 t,5
k a0 p e0 n,5
k a0 p e0 l,5
