word,len
p e0 ʃ,3
p ɔ0,2
p ɔ0 k,3
p ɔ0 r s j,5
p ɔ0 r s,4
p ɔ0 r,3
p ɔ0 j,3
p ɔ0 d,3
p ɔ0 p,3
p ɔ0 ʃ,3
p ɔ0 s,3
p ɔ0 t,3
p u0 r,3
p u0 r s j,5
p u0 r s,4
p u0 l,3
p u0 ʃ t,4
p u0 s t,4
p u0 tʃ,3
p a0 n tʃ,4
p a0 n dʒ,4
p a0 n d,4
p a0 χ ʃ,4
p a0 χ ʃ j,5
p a0 χ n,4
p a0 s t,4
p a0 s t j,5
p a0 j,3
p a0 h n,4
p a0 r,3
p a0 r t,4
p a0 ʃ m,4
p r i0,3
p r e0 s s,5
p r a0 v,4
p r ɔ0 f,4
p i0 r,3
p i0 t,3
p l j u0 s,5
p l a0 n ɡ,5
p l a0 n,4
p ɵ0 s t,4
d ɔ0 d,3
d ɔ0 d j,4
d ɔ0 ʃ t,4
d ɔ0,2
d ɔ0 r,3
d ɔ0 r j,4
d ɔ0 n,3
d ɔ0 ɡ,3
d ɔ0 m,3
d ɔ0 ʁ,3
d i0 l,3
d i0 d,3
d i0 n,3
d i0 n j,4
d i0 χ,3
d i0 ɡ,3
d u0 r,3
d u0 s t,4
d u0 ʃ,3
d u0 d,3
d u0 z d,4
d u0 m,3
d l j a0,4
d a0 r k,4
d a0 r k j,5
d a0 r d,4
d a0 r d j,5
d a0 r s,4
d a0 r s j,5
d a0 r dʒ,4
d a0 r tʃ,4
d a0 m,3
d a0 χ,3
d a0 χ l,4
d a0,2
d a0 v r,4
d a0 h,3
d a0 h r,4
d a0 ʃ t,4
d a0 f n,4
d ɵ0 s t,4
d ɵ0 ʃ,3
d e0 r,3
d e0,2
d e0 χ,3
d e0 v,3
d e0 h,3
d e0 l,3
d e0 ɡ,3
d e0 k,3
d v a0,3
d v u0 χ,4
d v ɔ0 r,4
d v e0,3
d n e0 j,4
d n j a0,4
d r u0 ɡ,4
z i0,2
z i0 k r,4
z i0 n,3
z i0 s t,4
z i0 ʃ t,4
z i0 m n,4
z i0 d,3
z i0 tʃ,3
z a0 n,3
z a0 n ɡ,4
z a0 n ɡ l,5
z a0 d,3
z a0,2
z a0 b t,4
z a0 r,3
z a0 r d,4
z a0 r d j,5
z a0 r b,4
z a0 r b j,5
z a0 m,3
z a0 χ m,4
z a0 χ m j,5
z a0 χ r,4
z a0 ʔ f,4
z a0 v q,4
z a0 h r,4
z a0 j l,4
z ɔ0 n,3
z ɔ0 r,3
z ɔ0 l,3
z u0 d,3
z u0 d j,4
z u0 r,3
z u0,2
z u0 l m,4
z u0 l f,4
z u0 χ r,4
z e0 r,3
z e0,2
z e0 h n,4
z ɵ0 r,3
z v e0 z d,5
tʃ a0 n d,4
tʃ a0 n ɡ,4
tʃ a0 n ɡ l,5
tʃ a0 n,3
tʃ a0 ʃ m,4
tʃ a0 ʃ n,4
tʃ a0 m ʔ,4
tʃ a0 m,3
tʃ a0 l b,4
tʃ a0 p,3
tʃ a0 r χ,4
tʃ a0 χ d,4
tʃ ɔ0,2
tʃ ɔ0 p,3
tʃ ɔ0 j,3
tʃ ɔ0 n,3
tʃ ɔ0 r,3
tʃ ɔ0 r j,4
tʃ ɔ0 s t,4
tʃ ɔ0 s t j,5
tʃ ɔ0 χ,3
tʃ ɔ0 h,3
tʃ ɔ0 m,3
tʃ ɔ0 k,3
tʃ u0,2
tʃ u0 z,3
tʃ u0 r m,4
tʃ u0 r,3
tʃ u0 s t,4
tʃ u0 f t,4
tʃ u0 f t j,5
tʃ u0 b,3
tʃ i0 n,3
tʃ i0 n j,4
tʃ i0 n s,4
tʃ i0 n s j,5
tʃ i0 s t,4
tʃ i0 z,3
tʃ i0 d d j,5
tʃ i0 l,3
tʃ t ɔ0,3
tʃ e0 m,3
tʃ e0 k,3
tʃ e0 n,3
tʃ ɵ0 b,3
s a0 r,3
s a0 r d,4
s a0 r d j,5
s a0 r f,4
s a0 r v,4
s a0 d,3
s a0 χ t,4
s a0 χ,3
s a0 χ m,4
s a0 χ m j,5
s a0 b t,4
s a0 b z,4
s a0 b k,4
s a0 b r,4
s a0 n ɡ,4
s a0 n ɡ l,5
s a0 n,3
s a0 h,3
s a0 h m,4
s a0 j t,4
s a0 j r,4
s a0 ʔ j,4
s a0 m t,4
s a0 m,3
s a0 ɡ,3
s a0 t r,4
s a0 t h,4
s a0 t χ,4
s a0 f,3
s a0,2
s e0,2
s e0 r,3
s e0 l,3
s e0 n,3
s e0 n t,4
s e0 b,3
s ɔ0 χ t,4
s ɔ0 n,3
s ɔ0,2
s ɔ0 f,3
s ɔ0 z,3
s ɔ0 j t,4
s u0 r χ,4
s u0 r,3
s u0 r b,4
s u0,2
s u0 d,3
s u0 l χ,4
s u0 l h,4
s u0 b χ,4
s u0 b h,4
s u0 χ t,4
s u0 s t,4
s u0 j,3
s u0 n ʔ j,5
s i0,2
s i0 l,3
s i0 r,3
s i0 r f,4
s i0 m,3
s i0 n,3
s i0 n f,4
s i0 χ,3
s i0 f r,4
s i0 d k,4
s ɵ0,2
s ɵ0 χ t,4
s t r a0 n,5
s t a0 l χ,5
s t a0 l,4
s v ɔ0 j,4
s tʃ e0 t,4
b e0 ʃ,3
b e0,2
b e0 z,3
b e0 χ,3
b e0 χ j,4
b e0 h,3
b e0 k,3
b e0 d,3
b a0 ʔ d,4
b a0 ʔ d j,5
b a0 r k,4
b a0 r k j,5
b a0 r q,4
b a0 r f,4
b a0 r ɡ,4
b a0 d,3
b a0 s,3
b a0 s t,4
b a0 s t j,5
b a0 j n,4
b a0 j t,4
b a0 χ s,4
b a0 χ s j,5
b a0 χ ʃ,4
b a0 χ ʃ j,5
b a0 χ t,4
b a0 χ r,4
b a0 n d,4
b a0 h s,4
b a0 h r,4
b ɔ0 r,3
b ɔ0 d,3
b ɔ0 ʃ,3
b ɔ0 ʃ j,4
b ɔ0 n k,4
b ɔ0 k j,4
b ɔ0 k,3
b ɔ0 ʁ,3
b ɔ0 b,3
b ɔ0 j,3
b ɔ0 ɡ,3
b ɔ0 χ t,4
b ɔ0 m,3
b ɔ0 z j,4
b ɔ0 l,3
b u0 r d,4
b u0 d j,4
b u0 z,3
b u0,2
b u0 j,3
b u0 m,3
b u0 n,3
b i0,2
b i0 s t,4
b i0 n,3
b i0 n j,4
b i0 m,3
b i0 χ,3
b i0 ɡ,3
b i0 k r,4
b l ɔ0 ɡ,4
b r u0 n z,5
r ɔ0,2
r ɔ0 χ,3
r ɔ0 h,3
r ɔ0 s t,4
r ɔ0 s t j,5
r ɔ0 d,3
r ɔ0 z,3
r ɔ0 z j,4
r ɔ0 n d,4
r ɔ0 n t,4
r ɔ0 n,3
r ɔ0 k,3
r ɔ0 m,3
r u0 z,3
r u0,2
r u0 χ,3
r u0 s,3
r u0 s j,4
r u0 j,3
r u0 ʃ d,4
r u0 m,3
r u0 d,3
r u0 b l,4
r u0 h,3
r ɵ0 z,3
r ɵ0,2
r ɵ0 j,3
r ɵ0 h,3
r ɵ0 d,3
r a0 f t,4
r a0 f t j,5
r a0 f ʔ,4
r a0 d,3
r a0 ʔ j,4
r a0 χ,3
r a0 χ t,4
r a0 χ m,4
r a0 χ m j,5
r a0 n ɡ,4
