word,len
b y0 t y0 n,5
b y0 t y0,4
b y0 t y0 k,5
b y0 t tʃ e0,5
b y0 l b y0 l,6
b y0 j y0 ɾ,5
b y0 k y0 ɾ,5
b y0 k y0 m,5
b y0 k y0,4
b y0 k y0 k,5
b y0 k y0 n,5
b y0 ɾ o0,4
b y0 f e0,4
b y0 f e0 k,5
b y0 f e0 ɾ,5
b i0 ɾ i0,4
b i0 ɾ i0 p,5
b i0 ɾ i0 ʃ,5
b i0 ɾ i0 n tʃ,6
b i0 ɾ i0 n,5
b i0 ɾ i0 m,5
b i0 ɾ i0 t,5
b i0 ɾ i0 l,5
b i0 ɾ a0 z,5
b i0 ɾ a0,4
b i0 ɾ a0 n,5
b i0 ɾ a0 n d,6
b i0 ɾ a0 s,5
b i0 ɾ tʃ o0 k,6
b i0 ɾ k a0 tʃ,6
b i0 ɾ k a0 dʒ,6
b i0 ɾ k i0 n,6
b i0 ɾ k e0 t,6
b i0 ɾ k e0,5
b i0 ɾ k e0 z,6
b i0 ɾ d e0 n,6
b i0 ɾ d e0,5
b i0 ɾ d i0,5
b i0 ɾ d i0 m,6
b i0 ɾ d i0 ɾ,6
b i0 ɾ d i0 k,6
b i0 ɾ e0 ɾ,5
b i0 ɾ e0 n,5
b i0 ɾ e0 n tʃ,6
b i0 ɾ e0 k t,6
b i0 ɾ e0 k,5
b i0 ɾ e0,4
b i0 ɾ e0 j,5
b i0 ɾ ʃ e0 j,6
b i0 ɾ l i0 k,6
b i0 ɾ l i0,5
b i0 ɾ l e0 ɾ,6
b i0 ɾ g y0 n,6
b i0 ɾ s e0 j,6
b i0 ɾ s e0 k,6
b i0 ɾ s e0,5
b i0 ɾ s i0 n,6
b i0 ɾ s a0 t,6
b i0 ɾ dʒ o0 k,6
b i0 z i0 m,5
b i0 z i0,4
b i0 z i0 n,5
b i0 z i0 k,5
b i0 z e0,4
b i0 z e0 m,5
b i0 z d e0,5
b i0 z d e0 n,6
b i0 z d i0,5
b i0 z l i0,5
b i0 z l e0 ɾ,6
b i0 z l e0,5
b i0 z l a0 ɾ,6
b i0 z l a0,5
b i0 z dʒ e0,5
b i0 z a0 h,5
b i0 z a0 n s,6
b i0 z a0,4
b i0 z a0 m,5
b i0 z g i0,5
b i0 z g e0,5
b i0 l g i0,5
b i0 l g i0 n tʃ,7
b i0 l g i0 n,6
b i0 l g i0 n dʒ,7
b i0 l g e0,5
b i0 l i0,4
b i0 l i0 m,5
b i0 l i0 ɾ,5
b i0 l i0 n tʃ,6
b i0 l i0 n,5
b i0 l i0 n g,6
b i0 l i0 t,5
b i0 l i0 k,5
b i0 l i0 p,5
b i0 l e0,4
b i0 l e0 n,5
b i0 l e0 t,5
b i0 l e0 k,5
b i0 l e0 ɾ,5
b i0 l e0 m,5
b i0 l m i0,5
b i0 l m i0 n,6
b i0 l m e0 m,6
b i0 l m e0 z,6
b i0 l m e0 k,6
b i0 l m e0,5
b i0 l m e0 s,6
b i0 l m d e0,6
b i0 l m d e0 n,7
b i0 l m d i0,6
b i0 l m d i0 ɾ,7
b i0 l m d i0 k,7
b i0 l m l e0 ɾ,7
b i0 l m l e0,6
b i0 l u0 n,5
b i0 l d e0,5
b i0 l d e0 n,6
b i0 l d i0 z,6
b i0 l d i0 m,6
b i0 l d i0 ɾ,6
b i0 l d i0,5
b i0 l d i0 k,6
b i0 l d a0,5
b i0 l s i0 n,6
b i0 l s e0 n,6
b i0 l a0 n,5
b i0 l a0 h,5
b i0 l a0 tʃ,5
b i0 l a0,4
b i0 l a0 l,5
b i0 l a0 v,5
b i0 zː a0 t,5
b i0 zː a0,4
b i0 tː i0,4
b i0 tː i0 m,5
b i0 tː i0 k,5
b i0 b e0 ɾ,5
b i0 b e0,4
b i0 n a0 l,5
b i0 n a0,4
b i0 n a0 n tʃ,6
b i0 n a0 n,5
b i0 n a0 n s,6
b i0 n a0 t,5
b i0 n a0 ɾ,5
b i0 n i0,4
b i0 n i0 ɾ,5
b i0 n i0 k,5
b i0 n i0 n,5
b i0 n i0 p,5
b i0 n i0 ʃ,5
b i0 n i0 f,5
b i0 n b i0 ɾ,6
b i0 n e0,4
b i0 n e0 k,5
b i0 n e0 ɾ,5
b i0 n e0 n,5
b i0 n l e0,5
b i0 n l e0 ɾ,6
b i0 n l i0,5
b i0 n d e0 n,6
b i0 n d e0,5
b i0 n d i0,5
b i0 n d i0 ɾ,6
b i0 n d i0 m,6
b i0 n d i0 k,6
b i0 n d a0 ɾ,6
b i0 n m i0 ʃ,6
b i0 n m e0,5
b i0 n m e0 k,6
b i0 t k i0,5
b i0 t k i0 n,6
b i0 t e0,4
b i0 t e0 n,5
b i0 t e0 ɾ,5
b i0 t e0 m,5
b i0 t m e0 k,6
b i0 t m e0,5
