word,len
t i0 k,3
t i0 z,3
t i0 ŋ,3
t i0 r,3
t i0,2
t i0 p,3
t ø0 p,3
t ø0 n,3
t ø0 ʃ,3
t ø0 r,3
t ø0 s,3
t ø0 z,3
t ø0,2
t e0 l,3
t e0 ʃ,3
t e0 k s t,5
t e0 k,3
t e0 z,3
t e0 s t,4
t e0,2
t e0 n,3
t ɤ0 ʃ,3
t ɤ0 n,3
t ɤ0 l,3
t ɤ0,2
t ɑ0 ŋ,3
t ɑ0 ʃ,3
t ɑ0 p,3
t ɑ0 r,3
t ɑ0 r t,4
t ɑ0 n,3
t ɑ0 n k,4
t ɑ0 l,3
t ɑ0 j,3
t ɑ0 k,3
t ɑ0 ʑ,3
t ɑ0 m,3
t a0 n,3
t a0 m,3
t a0 k,3
t u0 j,3
t u0 n,3
t u0,2
t u0 k,3
t u0 p,3
t u0 r,3
t u0 ŋ,3
t o0 r,3
t o0 r f,4
t o0 l,3
t o0 z,3
t o0 m,3
t o0 t,3
t o0 k,3
t o0 s t,4
t o0,2
t o0 p,3
t y0 r t,4
t y0 r,3
t y0 ʃ,3
t y0,2
t r e0 s s,5
t r e0 s t,5
b ɑ0 ʃ,3
b ɑ0 j,3
b ɑ0 l,3
b ɑ0 l l,4
b ɑ0 r s,4
b ɑ0 n k,4
b ɑ0,2
b ɑ0 s,3
b ɑ0 z,3
b ɑ0 k,3
b i0 ʃ,3
b i0,2
b i0 r,3
b i0 l,3
b a0 n,3
b a0 s,3
b a0 j,3
b u0 ʃ,3
b u0 l,3
b u0 j,3
b o0 z,3
b o0 k s,4
b o0 t,3
b l o0 ɡ,4
b e0 l,3
b e0,2
b e0 t,3
b y0 z,3
b r ɑ0 t,4
b r i0 z,4
ø0 ɕ,2
ø0 j,2
ø0 s,2
ø0,1
ø0 r,2
ø0 n,2
ɯ0 l,2
ɯ0,1
ɯ0 n ʔ,3
k y0 z,3
k y0 k,3
k y0 l,3
k y0 n,3
k y0 r,3
k y0 b,3
k y0 ɕ,3
k ɤ0 z,3
k ɤ0 ʃ,3
k ɤ0 r,3
k ɤ0 r t,4
k ɤ0 l,3
k ɤ0 l t,4
k ɤ0,2
k u0 l,3
k u0 l ʔ,4
k u0 l ʔ t,5
k u0,2
k u0 j,3
k u0 ʃ,3
k u0 p,3
k u0 r s,4
k i0 ŋ,3
k i0,2
k i0 ɕ,3
k i0 m,3
k i0 l,3
k i0 t,3
k i0 s,3
k ø0 ɕ,3
k ø0 z,3
k ø0 j,3
k ø0 l,3
k ø0 t,3
k ø0 r,3
k ø0 r d,4
k ɑ0 r t,4
k ɑ0 r,3
k ɑ0 r r,4
k ɑ0 n,3
k ɑ0,2
k ɑ0 t,3
k ɑ0 j,3
k ɑ0 j t,4
k ɑ0 z,3
k ɑ0 ʃ,3
k ɑ0 l,3
k ɑ0 s d,4
k ɑ0 k,3
k ɑ0 d r,4
k ɑ0 p,3
k o0 ʃ,3
k o0 l,3
k o0 m,3
k o0 r t,4
k o0 t,3
k o0,2
k o0 d,3
k o0 n,3
k a0,2
k a0 n,3
k l ɑ0 s s,5
k l ɑ0 s t ʔ,6
k l ɑ0 d,4
k l u0 b,4
k l i0 p,4
k e0 r,3
k e0,2
k e0 ʃ,3
k e0 d r,4
y0 k,2
y0 ɕ,2
y0,1
y0 t,2
y0 r,2
m e0 ŋ,3
m e0 t r,4
m e0 r,3
m e0,2
m e0 x,3
m e0 n,3
m e0 d,3
m ɑ0 j,3
m ɑ0 r t,4
m ɑ0 l,3
m ɑ0 h,3
m ɑ0,2
m ɑ0 t ɕ,4
m o0 ŋ,3
m u0 l,3
m u0 l ʔ,4
m u0 l ʔ t,5
m u0 t,3
m i0 ɕ,3
m i0,2
m i0 r,3
m i0 f,3
m a0,2
m a0 ʃ,3
m a0 n,3
m a0 k,3
m a0 l,3
m a0 s,3
m ɤ0,2
m y0 k,3
m d a0,3
s u0,2
s u0 m,3
s u0 l,3
