word,len
s ɛ0 b ɛ0,4
s ɛ0 b ɛ0 s,5
s ɛ0 b t ɔ0,5
s ɛ0 r ɛ0 d,5
s ɛ0 r ɛ0 v,5
s ɛ0 r ɛ0 l,5
s ɛ0 r ɛ0 j,5
s ɛ0 r ɛ0 ʒ,5
s ɛ0 r ɛ0,4
s ɛ0 r ɛ0 ɦ,5
s ɛ0 r ɛ0 tsʲ,5
s ɛ0 r ɛ0 n,5
s ɛ0 r p nʲ a0,6
s ɛ0 r p nʲ i0,6
s ɛ0 r p ɛ0 nʲ,6
s ɛ0 r p ɪ0 tʲ,6
s ɛ0 r ts ɛ0,5
s ɛ0 r ts ɛ0 m,6
s ɛ0 r tsʲ a0,5
s ɛ0 r tsʲ a0 x,6
s ɛ0 r tsʲ i0,5
s ɛ0 r tsʲ u0,5
s ɛ0 r v ɛ0 nʲ,6
s ɛ0 r v ɛ0 r,6
s ɛ0 r v i0 s,6
s ɛ0 r v nʲ i0,6
s ɛ0 r v nʲ i0 j,7
s ɛ0 r v ɪ0,5
s ɛ0 r v a0,5
s ɛ0 r d ɔ0,5
s ɛ0 r d ɛ0 tsʲ,6
s ɛ0 r d ɪ0 x,6
s ɛ0 r d ɪ0 j,6
s ɛ0 r d a0,5
s ɛ0 lʲ i0,4
s ɛ0 lʲ i0 v,5
s ɛ0 lʲ i0 t,5
s ɛ0 lʲ a0 n,5
s ɛ0 l a0,4
s ɛ0 l a0 x,5
s ɛ0 l ɔ0,4
s ɛ0 l ɔ0 m,5
s ɛ0 l ɪ0,4
s ɛ0 l ɪ0 tʃ,5
s ɛ0 l ɪ0 ʃ tʃ,6
s ɛ0 z ɔ0 n,5
s ɛ0 s t ɪ0,5
s ɛ0 s t r ɪ0,6
s ɛ0 s t r a0,6
s ɛ0 s t r a0 x,7
s ɛ0 s t r a0 k t,8
s ɛ0 s t r a0 m,7
s ɛ0 s t a0,5
s ɛ0 s t ɛ0 r,6
s ɛ0 s t ɔ0 m,6
s ɛ0 s v i0 t,6
s ɛ0 n sʲ i0,5
s ɛ0 n sʲ i0 j,6
s ɛ0 n s u0,5
s ɛ0 n s t v ɪ0,7
s ɛ0 n s t v ɪ0 j,8
s ɛ0 n s t v ɪ0 x,8
s ɛ0 n s t v ɪ0 m,8
s ɛ0 n s t v ɔ0,7
s ɛ0 n s t v a0,7
s ɛ0 n s t v a0 m,8
s ɛ0 k t ɔ0 r,6
s ɛ0 k t ɪ0,5
s ɛ0 k t a0,5
s ɛ0 k u0 n d,6
s ɛ0 k u0,4
s ɛ0 k r ɛ0 t,6
s ɛ0 k r a0 n,6
s ɛ0 k s p ɛ0 r,7
s ɛ0 k s p ɛ0 r t,8
s ɛ0 k s p ɔ0 r t,8
s ɛ0 k s t ɪ0,6
s ɛ0 k s t u0,6
s ɛ0 k s t ɔ0 m,7
s ɛ0 k s t r ɪ0,7
s ɛ0 k s t r a0,7
s ɛ0 k s t r a0 x,8
s ɛ0 k s t r a0 k t,9
s ɛ0 k s t r a0 m,8
s ɛ0 k s tʲ i0 v,7
s ɛ0 k s tʲ i0,6
s ɛ0 k s ɔ0 m,6
s ɛ0 k s u0,5
s ɛ0 tʃ i0,4
s ɛ0 tʃ i0 r,5
s ɛ0 m ɪ0,4
s ɛ0 sʲ i0,4
s ɛ0 sʲ i0 j,5
s ɛ0 rʲ i0,4
s ɛ0 rʲ i0 tʲ,5
s ɛ0 rʲ i0 ɦ,5
s ɛ0 rʲ i0 v,5
s ɛ0 rʲ i0 j,5
s ɔ0 b i0,4
s ɔ0 b i0 t,5
s ɔ0 b i0 d,5
s ɔ0 b i0 ɦ,5
s ɔ0 b i0 tʲ,5
s ɔ0 b i0 z m,6
s ɔ0 b ɔ0 r,5
s ɔ0 b ɔ0 x,5
s ɔ0 b ɔ0 d,5
s ɔ0 b ɔ0 z,5
s ɔ0 b a0,4
s ɔ0 b a0 k,5
s ɔ0 t nʲ i0,5
s ɔ0 t nʲ a0,5
s ɔ0 t nʲ u0,5
s ɔ0 t ɛ0,4
s ɔ0 t ɛ0 tsʲ,5
s ɔ0 t ɛ0 lʲ,5
s ɔ0 t ɛ0 nʲ,5
s ɔ0 t ɛ0 s t,6
s ɔ0 t ɛ0 s t r,7
s ɔ0 t ɛ0 dʒ,5
s ɔ0 t n ɪ0 k,6
s ɔ0 t ɔ0,4
s ɔ0 t ɔ0 ʒ,5
s ɔ0 t ɔ0 j,5
s ɔ0 t ɔ0 k,5
s ɔ0 t ɔ0 m,5
s ɔ0 n ts ɛ0 r t,7
s ɔ0 n ts ɛ0 r t v,8
s ɔ0 n ts ɛ0 r n,7
s ɔ0 n ts ɛ0,5
s ɔ0 n ts ɛ0 m,6
s ɔ0 n tsʲ a0,5
s ɔ0 n tsʲ i0,5
s ɔ0 n tsʲ u0,5
s ɔ0 j u0,4
s ɔ0 j u0 z,5
s ɔ0 j u0 sʲ,5
s ɔ0 l d a0 t,6
s ɔ0 l ɔ0 s,5
s ɔ0 l ɔ0,4
s ɔ0 l ɔ0 dʲ,5
s ɔ0 l ɔ0 d,5
s ɔ0 l ɔ0 n,5
s ɔ0 l ɔ0 m,5
s ɔ0 r ɔ0,4
s ɔ0 r ɔ0 ɦ,5
s ɔ0 r ɔ0 m,5
s ɔ0 r ɔ0 b,5
s ɔ0 r ɔ0 lʲ,5
s ɔ0 r ɔ0 k,5
s ɔ0 r ɔ0 z,5
s ɔ0 r ɔ0 x,5
s ɔ0 r ɔ0 d,5
s ɔ0 lʲ i0,4
s ɔ0 lʲ i0 r,5
s ɔ0 lʲ i0 tʲ,5
s ɔ0 lʲ i0 v,5
s ɔ0 lʲ i0 t,5
s ɔ0 lʲ i0 s t,6
s ɔ0 k ɔ0 m,5
s ɔ0 k ɔ0,4
s ɔ0 k u0,4
s ɔ0 k u0 s,5
s ɔ0 k ɪ0,4
s ɔ0 v i0,4
s ɔ0 v i0 v,5
s ɔ0 v i0 j,5
s ɔ0 v i0 s tʲ,6
s ɔ0 v i0 dʲ,5
s ɔ0 v i0 d,5
s ɔ0 v i0 r,5
s ɔ0 v i0 k,5
s ɔ0 v ɔ0,4
s ɔ0 v ɔ0 m,5
s ɔ0 v ɔ0 k,5
s ɔ0 s n ɔ0 v,6
s ɔ0 s n ɪ0,5
s ɔ0 s n a0,5
s v ɔ0 j u0,5
s v ɔ0 j u0 z,6
s v ɔ0 j u0 sʲ,6
