word,len
b aː0 j,3
b aː0 t,3
b aː0 l,3
b aː0,2
b aː0 k,3
b aː0 n k,4
b aː0 ɡ,3
b aː0 ɡː,3
b aː0 tʃː,3
b e0 s,3
b e0 pː,3
b e0 ɡ,3
b e0 j,3
b e0 n,3
b i0 ⁿd,3
b i0 j,3
b i0 s,3
b i0 ɾ,3
b i0 ɡ,3
b iː0,2
b iː0 ɲ,3
b iː0 ɡ,3
b a0 ɲ,3
b a0 n t,4
b a0 n,3
b a0 n k,4
b a0 j,3
b a0 ɡ n,4
b a0 ɾ,3
b a0 l,3
b a0 lː,3
b a0 x,3
b ɔ0 n,3
b ɔ0 j,3
b ɔ0 ɾ,3
b ɔ0,2
b ɔ0 b,3
b ɔ0 k,3
b ɔ0 p,3
b ɔ0 s,3
b ɔ0 sː,3
b ɔ0 nː,3
b ɔː0,2
b ɔː0 j,3
b ɔː0 ɡ,3
b ɔː0 ɾ,3
b ɔː0 l,3
b ɔː0 k,3
b ɔː0 b,3
b ɔː0 t,3
b u0 l,3
b u0 j,3
b u0 n t,4
b u0 ɲ,3
b ɛː0 s,3
b ɛː0,2
b ɛː0 k,3
b ɛː0 n,3
b ɛː0 f,3
b ɛː0 ɲ,3
b ə0 t,3
b ə0 j,3
b ə0 tː,3
b ə0 ɲ,3
b ə0 dʒ,3
b ə0 ɾ,3
b ə0 nː,3
b ɛ0,2
b ɛ0 n,3
b ɛ0 j,3
b ɛ0 t,3
b ɛ0 tː,3
b ɛ0 ɾ,3
b ɛ0 pː,3
b ɛ0 s,3
b ɛ0 w,3
b uː0 m,3
b uː0 b,3
b ɾ ɔ0,3
ᵐb i0 ⁿd,3
ᵐb i0 ɾ,3
ᵐb ɔ0 kː,3
ᵐb ɔ0 n,3
ᵐb ɔ0 tː,3
ᵐb ɔ0 ɾ,3
ᵐb ɔ0 k,3
ᵐb ɔ0 q,3
ᵐb ə0 dʒ,3
ᵐb ə0 nː,3
ᵐb ə0 ɾ,3
ᵐb u0 bː,3
ᵐb e0 ɡ,3
ᵐb e0 j,3
ᵐb a0 j,3
ᵐb a0,2
ᵐb a0 s,3
ᵐb a0 ɡː,3
ᵐb a0 q,3
ᵐb a0 m,3
ᵐb aː0 m,3
ᵐb aː0 ɾ,3
ᵐb aː0 l,3
ᵐb aː0 x,3
ᵐb ɛ0 dː,3
ᵐb ɛ0 j,3
ᵐb ɛ0 lː,3
ᵐb uː0 s,3
ᵐb ɔː0 j,3
ᵐb iː0 b,3
dʒ ɔ0 x,3
dʒ ɔ0 t,3
dʒ ɔ0 ɾ t,4
dʒ ɔ0 dʒ,3
dʒ ɔ0 m,3
dʒ ɔ0 b,3
dʒ ɔ0 s,3
dʒ ɔ0 j,3
dʒ ɔ0 nː,3
dʒ ɔ0 n,3
dʒ ɔ0 ɡ,3
dʒ ə0 f,3
dʒ ə0 l,3
dʒ ə0 kː,3
dʒ ə0 ⁿd,3
dʒ ə0 mː,3
dʒ ə0 n,3
dʒ ə0,2
dʒ ə0 ᵐb,3
dʒ ə0 w,3
dʒ a0,2
dʒ a0 n t,4
dʒ a0 n q,4
dʒ a0 m,3
dʒ a0 m p,4
dʒ a0 ɾ,3
dʒ a0 l,3
dʒ a0 mː,3
dʒ a0 wː,3
dʒ a0 j,3
dʒ a0 ɲ,3
dʒ a0 ᵑɡ,3
dʒ a0 ɡ,3
dʒ a0 pː,3
dʒ a0 x,3
dʒ aː0 mː,3
dʒ aː0 ᵑɡ,3
dʒ aː0 pː,3
dʒ aː0 ɾ,3
dʒ aː0 m,3
dʒ aː0 j,3
dʒ aː0 lː,3
dʒ aː0 n,3
