word,len
w ɑ0,2
w ɑ0 ɾ,3
w ɑ0 ɾ əj,4
w ɑ0 x t̪,4
w ɑ0 x,3
w ɑ0 ʃ t̪,4
w ɑ0 ʃ t̪ əj,5
w ɑ0 s t̪,4
w ɑ0 s t̪ əj,5
w ɑ0 s t̪ ɑj,5
w ɑ0 s,3
w ɑ0 ɣ,3
w ɑ0 ɣ t̪,4
w ɑ0 h t̪,4
w ɑ0 n,3
w ɑ0 n d̪,4
w ə0 ʃ,3
w ə0 ʃ əj,4
w ə0,2
w ə0 s,3
w ə0 n d̪,4
w ə0 ɾ d̪,4
w ə0 ɾ d̪ ɑj,5
w ə0 ɾ d̪ əj,5
w ə0 ɾ t̪ əj,5
w ə0 ɾ t̪,4
w ə0 ɾ əj,4
w ə0 ɾ,3
w ə0 q t̪,4
w ə0 t̪,3
w o0,2
w o0 n,3
w o0 ɾ d̪,4
w ɑj i0 ɾ,4
w ɑj i0,3
w ɑj ɑ0,3
w ɑj e0 ɾ,4
w ɑj e0,3
w ɑj ɨ0 ɾ,4
w ɑj ə0,3
w ʊ0,2
w ʊ0 ʃ k,4
w ɨ0 l l ɑj,5
w ɨ0 ʃ k,4
w ɨ0,2
w e0,2
w i0,2
w i0 j,3
w əj i0,3
w u0,2
h o0,2
h o0 m ɑj,4
h o0 l,3
h o0 n dʒ,4
h o0 n,3
h o0 t̪,3
h o0 ʃ,3
h o0 ʃ t̪,4
h ɨ0 m,3
h ɨ0 ɾ ɡ,4
h ɑ0,2
h ɑ0 l,3
h ɑ0 l k,4
h ɑ0 ɾ d̪,4
h ɑ0 ɾ,3
h ɑ0 s,3
h ɑ0 q,3
h ɑ0 k,3
h ɑ0 m,3
h ɑ0 t̪,3
h ə0 t̪,3
h ə0 q,3
h ə0 s,3
h ə0 s t̪,4
h ə0 s t̪ əj,5
h ə0 s t̪ p əj,6
h ə0 n,3
h ə0 n d̪,4
h ə0 ʃ,3
h ə0 ʃ t̪,4
h ə0 ʃ t̪ ɑj,5
h ə0 ɾ b,4
h ə0 ɾ ɡ,4
h ə0 ɾ əj,4
h ə0 ɾ f,4
h ə0 ɾ d̪,4
h ə0 ɾ d̪ ɑj,5
h ə0 ɾ d̪ əj,5
h ə0 ɾ s,4
h ə0 ɾ s ɑj,5
h ə0 ɾ v,4
h ə0 ɾ,3
h ə0 ɾ ɑj,4
h ə0 z,3
h ə0,2
h ə0 l,3
h ə0 l ɑw,4
h ə0 b,3
h ə0 dʒ,3
h ə0 m,3
h ə0 m d̪,4
h ə0 p,3
h ə0 f t̪,4
h ə0 f t̪ əj,5
h əw n ɑ0,4
h əw n ɑ0 n,5
h əw n e0,4
h əw n ə0,4
h əw n i0,4
h əw ɑ0,3
h əw ɑ0 ɾ,4
h əw l ɑ0,4
h əw l o0,4
h əw l i0,4
h əw ɑj e0,4
h əw ɑj o0,4
h əw e0,3
h əw ɨ0 n,4
h əw ə0 s,4
h əw ə0,3
h əw ɾ e0,4
h əw ɾ e0 s,5
h əw ɾ i0,4
h e0 n,3
h e0,2
h e0 ɾ s,4
h e0 ɾ,3
h e0 f,3
h e0 z,3
h e0 t̪,3
h e0 ʃ,3
h e0 ɡ ɑj,4
h e0 l,3
h ɑw ɑ0,3
h ɑw ɑ0 ɾ,4
h ɑw t̪ ɑ0,4
h ɑw o0,3
h əj ɑ0 t̪,4
h əj ɑ0,3
h əj ɑ0 l,4
h əj n ɑ0,4
h əj n ɑ0 n,5
h əj ɾ ɑ0,4
h əj ɾ ɑ0 t̪,5
h əj ɾ ɑ0 n,5
h əj f e0,4
h əj w ɑ0 n,5
h əj w ɑ0 n d̪,6
h i0 tʃ,3
h i0 n,3
h i0,2
h i0 s,3
h i0 m,3
h ɑj d̪ ɑ0,4
h ɑj d̪ ɑ0 ɾ,5
h ɑj d̪ ɑ0 ɾ d̪,6
h ɑj e0,3
h ɑj ɑ0,3
h ɑj ɑ0 t̪,4
h ɑj ɾ e0,4
h ʊ0,2
h ʊ0 s k,4
h ʊ0 n,3
h ʊ0 k m,4
n ɑ0 m əj,4
n ɑ0 m,3
n ɑ0 s,3
n ɑ0 t̪,3
n ɑ0 n,3
n ɑ0 ɾ ɑj,4
n ɑ0 v,3
n e0 j,3
n e0 m,3
n e0 ɾ,3
n əw ə0,3
n əw ə0 s,4
n əw i0,3
n əw e0,3
n əw ɑ0,3
n əw ɨ0,3
n əw əj ɑ0 n,5
n əw əj o0,4
n əw ʊ0,3
n ʊ0,2
n ʊ0 ʃ t̪ əj,5
n ʊ0 ʃ,3
n ʊ0 ʃ n ɑj,5
n ʊ0 n,3
n ʊ0 s t̪ əj,5
n ʊ0 s t̪,4
n ʊ0 s,3
n ʊ0 s n ɑj,5
n ʊ0 ɾ,3
n ʊ0 m,3
n oj o0,3
n ɑj ə0,3
n ɑj e0,3
n ɑj ɑ0,3
n ɑj o0,3
n o0 n,3
n o0 t̪,3
n ɨ0 k ɑj,4
n ɨ0,2
n ɨ0 n,3
n ɨ0 z m,4
n ə0 ɾ m,4
n ə0 ɾ m əj,5
n ə0 ʃ ɾ,4
n ə0 q,3
n ə0 t̪,3
n əj s ə0 ɾ,5
n əj s ə0 ɾ əj,6
n əj s ə0 ɾ d̪,6
n əj s ə0 ɾ d̪ ɑj,7
n əj s ə0 ɾ d̪ əj,7
n əj s ə0 ɾ t̪ əj,7
n əj s ə0 ɾ t̪,6
n əj s ə0 ɾ m,6
n əj s ə0 ɾ m əj,7
n əj s ə0,4
n əj ɑ0 ɾ,4
n əj ɑ0,3
n əj ɑj o0,4
n əj ɾ e0,4
n ɑw ɑ0,3
n ɑw o0,3
n ʊj o0,3
n i0 ʃ t̪,4
n i0 n,3
n i0 dʒ h,4
n i0 dʒ h t̪,5
n i0 j,3
n i0 w,3
n i0 m,3
n u0,2
n u0 ɾ,3
əw ɾ o0,3
əw ɾ ʊ0,3
əw ɨ0,2
əw n ɑ0,3
əw n ɑ0 n,4
əw dʒ ɑ0,3
ə0,1
ə0 n,2
ə0 s t̪,3
ə0 s t̪ əj,4
ə0 s t̪ p əj,5
ə0 s l,3
ə0 s,2
ə0 s q,3
ə0 s b,3
ə0 k,2
ə0 ʃ t̪,3
ə0 ʃ t̪ ɑj,4
ə0 ʃ q,3
ə0 f,2
ə0 l,2
ə0 ɾ,2
ə0 m,2
ə0 m ɾ,3
ə0 ɡ,2
ə0 t̪ ɑj,3
ə0 t̪,2
ə0 z ɑj,3
ə0 v,2
d̪ e0,2
d̪ e0 j,3
d̪ e0 s,3
d̪ e0 ɾ,3
d̪ e0 ɾ d̪,4
d̪ e0 ɾ d̪ əj,5
d̪ e0 w,3
d̪ e0 n,3
d̪ əw ə0,3
d̪ əw ə0 ɾ,4
d̪ əw e0,3
d̪ əw ɨ0,3
d̪ əw ɨ0 ʒ,4
d̪ əw ɨ0 z,4
d̪ əw ɑ0 m,4
d̪ əw ɑ0 n,4
d̪ əw ɑ0 ɾ,4
d̪ əw i0,3
